ID;Type;Description;Civilopedia;Strategy;Help;ThemingBonusHelp;Quote;GoldMaintenance;MutuallyExclusiveGroup;TeamShare;Water;River;FreshWater;Mountain;NearbyMountainRequired;Hill;Flat;FoundsReligion;IsReligious;BorderObstacle;PlayerBorderObstacle;Capital;GoldenAge;MapCentering;NeverCapture;NukeImmune;AllowsWaterRoutes;ExtraLuxuries;DiplomaticVoting;AffectSpiesNow;NullifyInfluenceModifier;Cost;FaithCost;LeagueCost;UnlockedByBelief;UnlockedByLeague;HolyCity;NumCityCostMod;HurryCostModifier;MinAreaSize;ConquestProb;CitiesPrereq;LevelPrereq;CultureRateModifier;GlobalCultureRateModifier;GreatPeopleRateModifier;GlobalGreatPeopleRateModifier;GreatGeneralRateModifier;GreatPersonExpendGold;GoldenAgeModifier;UnitUpgradeCostMod;Experience;GlobalExperience;FoodKept;Airlift;AirModifier;NukeModifier;NukeExplosionRand;HealRateChange;Happiness;UnmoddedHappiness;UnhappinessModifier;HappinessPerCity;HappinessPerXPolicies;CityCountUnhappinessMod;NoOccupiedUnhappiness;WorkerSpeedModifier;MilitaryProductionModifier;SpaceProductionModifier;GlobalSpaceProductionModifier;BuildingProductionModifier;WonderProductionModifier;CityConnectionTradeRouteModifier;CapturePlunderModifier;PolicyCostModifier;PlotCultureCostModifier;GlobalPlotCultureCostModifier;PlotBuyCostModifier;GlobalPlotBuyCostModifier;GlobalPopulationChange;TechShare;FreeTechs;FreePolicies;FreeGreatPeople;MedianTechPercentChange;Gold;AllowsRangeStrike;Espionage;AllowsFoodTradeRoutes;AllowsProductionTradeRoutes;Defense;ExtraCityHitPoints;GlobalDefenseMod;MinorFriendshipChange;VictoryPoints;ExtraMissionarySpreads;ReligiousPressureModifier;EspionageModifier;GlobalEspionageModifier;ExtraSpies;SpyRankChange;InstantSpyRankChange;TradeRouteRecipientBonus;TradeRouteTargetBonus;NumTradeRouteBonus;LandmarksTourismPercent;InstantMilitaryIncrease;GreatWorksTourismModifier;XBuiltTriggersIdeologyChoice;TradeRouteSeaDistanceModifier;TradeRouteSeaGoldBonus;TradeRouteLandDistanceModifier;TradeRouteLandGoldBonus;CityStateTradeRouteProductionModifier;GreatScientistBeakerModifier;BuildingClass;ArtDefineTag;NearbyTerrainRequired;ProhibitedCityTerrain;VictoryPrereq;FreeStartEra;MaxStartEra;ObsoleteTech;EnhancedYieldTech;TechEnhancedTourism;FreeBuilding;FreeBuildingThisCity;FreePromotion;TrainedFreePromotion;FreePromotionRemoved;ReplacementBuildingClass;PrereqTech;PolicyBranchType;SpecialistType;SpecialistCount;GreatWorkSlotType;FreeGreatWork;GreatWorkCount;SpecialistExtraCulture;GreatPeopleRateChange;ExtraLeagueVotes;CityWall;DisplayPosition;PortraitIndex;WonderSplashImage;WonderSplashAnchor;WonderSplashAudio;IconAtlas;ArtInfoCulturalVariation;ArtInfoEraVariation;ArtInfoRandomVariation
10;BUILDING_BURIAL_TOMB;TXT_KEY_BUILDING_BURIAL_TOMB_DESC;TXT_KEY_BUILDING_BURIAL_TOMB_PEDIA;TXT_KEY_BUILDING_BURIAL_TOMB_STRATEGY;TXT_KEY_BUILDING_BURIAL_TOMB_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_TEMPLE;BURIAL_TOMB;;;;;ERA_RENAISSANCE;;;0;;;;;;;TECH_PHILOSOPHY;;;0;;;0;0;0;0;0;0;55;;R,T;;BW_ATLAS_1;0;0;0
11;BUILDING_SEAPORT;TXT_KEY_BUILDING_SEAPORT;TXT_KEY_CIV5_BUILDINGS_SEAPORT_TEXT;TXT_KEY_BUILDING_SEAPORT_STRATEGY;TXT_KEY_BUILDING_SEAPORT_HELP;;;2;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;25;10;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_SEAPORT;ART_DEF_BUILDING_SEAPORT;;;;;;;;0;;;;;;;TECH_NAVIGATION;;;0;;;0;0;0;0;0;0;48;;R,T;;BW_ATLAS_1;0;0;0
12;BUILDING_STABLE;TXT_KEY_BUILDING_STABLE;TXT_KEY_CIV5_BUILDINGS_STABLE_TEXT;TXT_KEY_BUILDING_STABLE_STRATEGY;TXT_KEY_BUILDING_STABLE_HELP;;;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;25;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_STABLE;ART_DEF_BUILDING_STABLE;;;;;;;;0;;;;;;;TECH_HORSEBACK_RIDING;;;0;;;0;0;0;0;0;0;7;;R,T;;BW_ATLAS_1;0;0;0
13;BUILDING_WATERMILL;TXT_KEY_BUILDING_WATERMILL;TXT_KEY_CIV5_BUILDINGS_WATERMILL_TEXT;TXT_KEY_BUILDING_WATERMILL_STRATEGY;TXT_KEY_BUILDING_WATERMILL_HELP;;;2;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_WATERMILL;ART_DEF_BUILDING_WATERMILL;;;;;;;;0;;;;;;;TECH_THE_WHEEL;;;0;;;0;0;0;0;0;0;29;;R,T;;BW_ATLAS_1;0;0;0
14;BUILDING_CIRCUS;TXT_KEY_BUILDING_CIRCUS;TXT_KEY_CIV5_BUILDINGS_CIRCUS_TEXT;TXT_KEY_BUILDING_CIRCUS_STRATEGY;TXT_KEY_BUILDING_CIRCUS_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_CIRCUS;ART_DEF_BUILDING_CIRCUS;;;;;;;;0;;;;;;;TECH_TRAPPING;;;0;;;0;0;0;0;0;0;44;;R,T;;BW_ATLAS_1;0;0;0
15;BUILDING_FORGE;TXT_KEY_BUILDING_FORGE;TXT_KEY_CIV5_BUILDINGS_FORGE_TEXT;TXT_KEY_BUILDING_FORGE_STRATEGY;TXT_KEY_BUILDING_FORGE_HELP;;;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_FORGE;ART_DEF_BUILDING_FORGE;;;;ERA_INDUSTRIAL;;;;0;;;;;;;TECH_METAL_CASTING;;;0;;;0;0;0;0;0;0;2;;R,T;;BW_ATLAS_1;0;0;0
16;BUILDING_WINDMILL;TXT_KEY_BUILDING_WINDMILL;TXT_KEY_CIV5_BUILDINGS_WINDMILL_TEXT;TXT_KEY_BUILDING_WINDMILL_STRATEGY;TXT_KEY_BUILDING_WINDMILL_HELP;;;2;-1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_WINDMILL;ART_DEF_BUILDING_FORGE;;;;;;;;0;;;;;;;TECH_ECONOMICS;;SPECIALIST_ENGINEER;1;;;0;0;0;0;0;0;1;;R,T;;BW_ATLAS_1;0;0;0
17;BUILDING_HYDRO_PLANT;TXT_KEY_BUILDING_HYDRO_PLANT;TXT_KEY_CIV5_BUILDINGS_HYDROPLANT_TEXT;TXT_KEY_BUILDING_HYDRO_PLANT_STRATEGY;TXT_KEY_BUILDING_HYDRO_PLANT_HELP;;;3;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;0;0;0;0;0;0;0;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_HYDRO_PLANT;ART_DEF_BUILDING_HYDRO_PLANT;;;;;;;;0;;;;;;;TECH_ELECTRICITY;;;0;;;0;0;0;0;0;0;30;;R,T;;BW_ATLAS_1;0;0;0
18;BUILDING_SOLAR_PLANT;TXT_KEY_BUILDING_SOLAR_PLANT;TXT_KEY_CIV5_BUILDINGS_SOLARPLANT_TEXT;TXT_KEY_BUILDING_SOLAR_PLANT_STRATEGY;TXT_KEY_BUILDING_SOLAR_PLANT_HELP;;;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_SOLAR_PLANT;ART_DEF_BUILDING_HYDRO_PLANT;TERRAIN_DESERT;;;;;;;0;;;;;;;TECH_ECOLOGY;;;0;;;0;0;0;0;0;0;31;;R,T;;BW_ATLAS_1;0;0;0
19;BUILDING_MINT;TXT_KEY_BUILDING_MINT;TXT_KEY_CIV5_BUILDINGS_MINT_TEXT;TXT_KEY_BUILDING_MINT_STRATEGY;TXT_KEY_BUILDING_MINT_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;25;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_MINT;ART_DEF_BUILDING_BANK;;;;;;;;0;;;;;;;TECH_CURRENCY;;;0;;;0;0;0;0;0;0;34;;R,T;;BW_ATLAS_1;0;0;0
20;BUILDING_OBSERVATORY;TXT_KEY_BUILDING_OBSERVATORY;TXT_KEY_CIV5_BUILDINGS_OBSERVATORY_TEXT;TXT_KEY_BUILDING_OBSERVATORY_STRATEGY;TXT_KEY_BUILDING_OBSERVATORY_HELP;;;0;-1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;15;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_OBSERVATORY;ART_DEF_BUILDING_OBSERVATORY;;;;;;;;0;;;;;;;TECH_ASTRONOMY;;;0;;;0;0;0;0;0;0;42;;R,T;;BW_ATLAS_1;0;0;0
21;BUILDING_MONASTERY;TXT_KEY_BUILDING_MONASTERY_DESC;TXT_KEY_CIV5_BUILDINGS_MONASTERY_TEXT;TXT_KEY_BUILDING_MONASTERY_STRATEGY;TXT_KEY_BUILDING_MONASTERY_HELP;;;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;150;0;1;0;0;0;0;-1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_MONASTERY;MONASTERY;;;;;;;;0;;;;;;;;;;0;;;0;0;0;0;0;0;38;;R,T;;BW_ATLAS_1;0;0;0
22;BUILDING_GARDEN;TXT_KEY_BUILDING_GARDEN;TXT_KEY_CIV5_BUILDINGS_GARDEN_TEXT;TXT_KEY_BUILDING_GARDEN_STRATEGY;TXT_KEY_BUILDING_GARDEN_HELP;;;1;-1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;25;-1;66;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BUILDINGCLASS_GARDEN;ART_DEF_BUILDING_GARDEN;;;;;;;;0;;;;;;;TECH_THEOLOGY;;;0;;;0;0;0;0;0;0;24;;R,T;;BW_ATLAS_1;0;0;0
