UnitType;PromotionType
UNIT_GREEK_COMPANIONCAVALRY;PROMOTION_SPAWN_GENERALS_I
UNIT_GREEK_COMPANIONCAVALRY;PROMOTION_CITY_PENALTY
UNIT_CATAPULT;PROMOTION_ONLY_DEFENSIVE
UNIT_CATAPULT;PROMOTION_CITY_SIEGE
UNIT_CATAPULT;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_CATAPULT;PROMOTION_MUST_SET_UP
UNIT_CATAPULT;PROMOTION_SIGHT_PENALTY
UNIT_ROMAN_BALLISTA;PROMOTION_ONLY_DEFENSIVE
UNIT_ROMAN_BALLISTA;PROMOTION_CITY_SIEGE
UNIT_ROMAN_BALLISTA;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_ROMAN_BALLISTA;PROMOTION_MUST_SET_UP
UNIT_ROMAN_BALLISTA;PROMOTION_SIGHT_PENALTY
UNIT_KNIGHT;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_KNIGHT;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_KNIGHT;PROMOTION_CITY_PENALTY
UNIT_ARABIAN_CAMELARCHER;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_ARABIAN_CAMELARCHER;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_ARABIAN_CAMELARCHER;PROMOTION_ONLY_DEFENSIVE
UNIT_SIAMESE_WARELEPHANT;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_SIAMESE_WARELEPHANT;PROMOTION_ANTI_MOUNTED_I
UNIT_SIAMESE_WARELEPHANT;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_SIAMESE_WARELEPHANT;PROMOTION_CITY_PENALTY
UNIT_SONGHAI_MUSLIMCAVALRY;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_SONGHAI_MUSLIMCAVALRY;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_CROSSBOWMAN;PROMOTION_ONLY_DEFENSIVE
UNIT_CHINESE_CHUKONU;PROMOTION_ONLY_DEFENSIVE
UNIT_CHINESE_CHUKONU;PROMOTION_SECOND_ATTACK
UNIT_ENGLISH_LONGBOWMAN;PROMOTION_ONLY_DEFENSIVE
UNIT_ENGLISH_LONGBOWMAN;PROMOTION_RANGE
UNIT_PIKEMAN;PROMOTION_ANTI_MOUNTED_I
UNIT_GERMAN_LANDSKNECHT;PROMOTION_ANTI_MOUNTED_I
UNIT_GERMAN_LANDSKNECHT;PROMOTION_FREE_PILLAGE_MOVES
UNIT_GERMAN_LANDSKNECHT;PROMOTION_DOUBLE_PLUNDER
UNIT_TREBUCHET;PROMOTION_ONLY_DEFENSIVE
UNIT_TREBUCHET;PROMOTION_CITY_SIEGE
UNIT_TREBUCHET;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_TREBUCHET;PROMOTION_MUST_SET_UP
UNIT_TREBUCHET;PROMOTION_SIGHT_PENALTY
UNIT_JAPANESE_SAMURAI;PROMOTION_SHOCK_1
UNIT_JAPANESE_SAMURAI;PROMOTION_SPAWN_GENERALS_II
UNIT_AMERICAN_MINUTEMAN;PROMOTION_IGNORE_TERRAIN_COST
UNIT_AMERICAN_MINUTEMAN;PROMOTION_DRILL_1
UNIT_AMERICAN_MINUTEMAN;PROMOTION_GOLDEN_AGE_POINTS
UNIT_OTTOMAN_JANISSARY;PROMOTION_HEAL_IF_DESTROY_ENEMY
UNIT_OTTOMAN_JANISSARY;PROMOTION_ATTACK_BONUS
UNIT_CANNON;PROMOTION_ONLY_DEFENSIVE
UNIT_CANNON;PROMOTION_CITY_SIEGE
UNIT_CANNON;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_CANNON;PROMOTION_MUST_SET_UP
UNIT_CANNON;PROMOTION_SIGHT_PENALTY
UNIT_LANCER;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_LANCER;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_LANCER;PROMOTION_CITY_PENALTY
UNIT_LANCER;PROMOTION_FORMATION_1
UNIT_OTTOMAN_SIPAHI;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_OTTOMAN_SIPAHI;PROMOTION_FREE_PILLAGE_MOVES
UNIT_OTTOMAN_SIPAHI;PROMOTION_EXTRA_SIGHT_I
UNIT_OTTOMAN_SIPAHI;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_OTTOMAN_SIPAHI;PROMOTION_CITY_PENALTY
UNIT_OTTOMAN_SIPAHI;PROMOTION_FORMATION_1
UNIT_CAVALRY;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_CAVALRY;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_CAVALRY;PROMOTION_CITY_PENALTY
UNIT_RUSSIAN_COSSACK;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_RUSSIAN_COSSACK;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_RUSSIAN_COSSACK;PROMOTION_STRONGER_VS_DAMAGED
UNIT_RUSSIAN_COSSACK;PROMOTION_CITY_PENALTY
UNIT_FRENCH_FOREIGNLEGION;PROMOTION_FOREIGN_LANDS
UNIT_ARTILLERY;PROMOTION_INDIRECT_FIRE
UNIT_ARTILLERY;PROMOTION_ONLY_DEFENSIVE
UNIT_ARTILLERY;PROMOTION_CITY_SIEGE
UNIT_ARTILLERY;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_ARTILLERY;PROMOTION_MUST_SET_UP
UNIT_ARTILLERY;PROMOTION_SIGHT_PENALTY
UNIT_TANK;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_TANK;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_GERMAN_PANZER;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_GERMAN_PANZER;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_ANTI_TANK_GUN;PROMOTION_ANTI_TANK
UNIT_ANTI_AIRCRAFT_GUN;PROMOTION_INTERCEPTION_IV
UNIT_ANTI_AIRCRAFT_GUN;PROMOTION_ANTI_AIR
UNIT_PARATROOPER;PROMOTION_PARADROP
UNIT_PARATROOPER;PROMOTION_FREE_PILLAGE_MOVES
UNIT_FIGHTER;PROMOTION_INTERCEPTION_IV
UNIT_FIGHTER;PROMOTION_AIR_SWEEP
UNIT_FIGHTER;PROMOTION_AIR_RECON
UNIT_FIGHTER;PROMOTION_ANTI_AIR_II
UNIT_JAPANESE_ZERO;PROMOTION_INTERCEPTION_IV
UNIT_JAPANESE_ZERO;PROMOTION_ANTI_FIGHTER
UNIT_JAPANESE_ZERO;PROMOTION_AIR_SWEEP
UNIT_JAPANESE_ZERO;PROMOTION_AIR_RECON
UNIT_JAPANESE_ZERO;PROMOTION_ANTI_AIR_II
UNIT_AMERICAN_B17;PROMOTION_EVASION
UNIT_AMERICAN_B17;PROMOTION_AIR_SIEGE_1
UNIT_ATOMIC_BOMB;PROMOTION_EVASION_I
UNIT_ROCKET_ARTILLERY;PROMOTION_INDIRECT_FIRE
UNIT_ROCKET_ARTILLERY;PROMOTION_ONLY_DEFENSIVE
UNIT_ROCKET_ARTILLERY;PROMOTION_CITY_SIEGE
UNIT_ROCKET_ARTILLERY;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_ROCKET_ARTILLERY;PROMOTION_SIGHT_PENALTY
UNIT_MODERN_ARMOR;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_MODERN_ARMOR;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_HELICOPTER_GUNSHIP;PROMOTION_FLAT_MOVEMENT_COST
UNIT_HELICOPTER_GUNSHIP;PROMOTION_HOVERING_UNIT
UNIT_HELICOPTER_GUNSHIP;PROMOTION_ANTI_TANK
UNIT_HELICOPTER_GUNSHIP;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_HELICOPTER_GUNSHIP;PROMOTION_NO_CAPTURE
UNIT_MOBILE_SAM;PROMOTION_INTERCEPTION_IV
UNIT_MOBILE_SAM;PROMOTION_ANTI_AIR
UNIT_GUIDED_MISSILE;PROMOTION_EVASION_II
UNIT_JET_FIGHTER;PROMOTION_INTERCEPTION_IV
UNIT_JET_FIGHTER;PROMOTION_AIR_SWEEP
UNIT_JET_FIGHTER;PROMOTION_AIR_RECON
UNIT_JET_FIGHTER;PROMOTION_ANTI_AIR_II
UNIT_STEALTH_BOMBER;PROMOTION_EVASION_II
UNIT_STEALTH_BOMBER;PROMOTION_AIR_RECON
UNIT_NUCLEAR_MISSILE;PROMOTION_EVASION_I
UNIT_MECH;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_MECH;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_WORKBOAT;PROMOTION_OCEAN_IMPASSABLE_UNTIL_ASTRONOMY
UNIT_GALLEY;PROMOTION_OCEAN_IMPASSABLE
UNIT_TRIREME;PROMOTION_OCEAN_IMPASSABLE
UNIT_CARAVEL;PROMOTION_EXTRA_SIGHT_I
UNIT_CARAVEL;PROMOTION_WITHDRAW_BEFORE_MELEE
UNIT_FRIGATE;PROMOTION_ONLY_DEFENSIVE
UNIT_ENGLISH_SHIPOFTHELINE;PROMOTION_ONLY_DEFENSIVE
UNIT_ENGLISH_SHIPOFTHELINE;PROMOTION_EXTRA_SIGHT_I
UNIT_IRONCLAD;PROMOTION_STEAM_POWERED
UNIT_IRONCLAD;PROMOTION_FIRE_SUPPORT
UNIT_DESTROYER;PROMOTION_SEE_INVISIBLE_SUBMARINE
UNIT_DESTROYER;PROMOTION_INTERCEPTION_II
UNIT_DESTROYER;PROMOTION_ANTI_SUBMARINE_II
UNIT_DESTROYER;PROMOTION_WITHDRAW_BEFORE_MELEE
UNIT_SUBMARINE;PROMOTION_INVISIBLE_SUBMARINE
UNIT_SUBMARINE;PROMOTION_SEE_INVISIBLE_SUBMARINE
UNIT_SUBMARINE;PROMOTION_CAN_MOVE_IMPASSABLE
UNIT_SUBMARINE;PROMOTION_ONLY_DEFENSIVE
UNIT_SUBMARINE;PROMOTION_SILENT_HUNTER
UNIT_BATTLESHIP;PROMOTION_INDIRECT_FIRE
UNIT_BATTLESHIP;PROMOTION_ONLY_DEFENSIVE
UNIT_CARRIER;PROMOTION_CARGO_II
UNIT_CARRIER;PROMOTION_ONLY_DEFENSIVE
UNIT_NUCLEAR_SUBMARINE;PROMOTION_INVISIBLE_SUBMARINE
UNIT_NUCLEAR_SUBMARINE;PROMOTION_SEE_INVISIBLE_SUBMARINE
UNIT_NUCLEAR_SUBMARINE;PROMOTION_CARGO_II
UNIT_NUCLEAR_SUBMARINE;PROMOTION_CAN_MOVE_IMPASSABLE
UNIT_NUCLEAR_SUBMARINE;PROMOTION_ONLY_DEFENSIVE
UNIT_NUCLEAR_SUBMARINE;PROMOTION_SILENT_HUNTER
UNIT_NUCLEAR_SUBMARINE;PROMOTION_EXTRA_SIGHT_I
UNIT_MISSILE_CRUISER;PROMOTION_SEE_INVISIBLE_SUBMARINE
UNIT_MISSILE_CRUISER;PROMOTION_ANTI_SUBMARINE_II
UNIT_MISSILE_CRUISER;PROMOTION_CARGO_III
UNIT_MISSILE_CRUISER;PROMOTION_INTERCEPTION_IV
UNIT_MISSILE_CRUISER;PROMOTION_ONLY_DEFENSIVE
UNIT_GREAT_GENERAL;PROMOTION_GREAT_GENERAL
UNIT_MONGOLIAN_KESHIK;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_MONGOLIAN_KESHIK;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_MONGOLIAN_KESHIK;PROMOTION_ONLY_DEFENSIVE
UNIT_MONGOLIAN_KESHIK;PROMOTION_SPAWN_GENERALS_I
UNIT_MONGOLIAN_KESHIK;PROMOTION_GAIN_EXPERIENCE
UNIT_MONGOLIAN_KHAN;PROMOTION_MEDIC_GENERAL
UNIT_MONGOLIAN_KHAN;PROMOTION_GREAT_GENERAL
UNIT_INCAN_SLINGER;PROMOTION_ONLY_DEFENSIVE
UNIT_INCAN_SLINGER;PROMOTION_WITHDRAW_BEFORE_MELEE
UNIT_POLYNESIAN_MAORI_WARRIOR;PROMOTION_HAKA_WAR_DANCE
UNIT_DANISH_BERSERKER;PROMOTION_AMPHIBIOUS
UNIT_DANISH_SKI_INFANTRY;PROMOTION_SKI_INFANTRY
UNIT_KOREAN_TURTLE_SHIP;PROMOTION_OCEAN_IMPASSABLE
UNIT_KOREAN_HWACHA;PROMOTION_ONLY_DEFENSIVE
UNIT_KOREAN_HWACHA;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_KOREAN_HWACHA;PROMOTION_MUST_SET_UP
UNIT_BABYLONIAN_BOWMAN;PROMOTION_ONLY_DEFENSIVE
UNIT_CELT_PICTISH_WARRIOR;PROMOTION_FOREIGN_LANDS
UNIT_CELT_PICTISH_WARRIOR;PROMOTION_FREE_PILLAGE_MOVES
UNIT_MAYAN_ATLATLIST;PROMOTION_ONLY_DEFENSIVE
UNIT_BYZANTINE_DROMON;PROMOTION_OCEAN_IMPASSABLE
UNIT_BYZANTINE_DROMON;PROMOTION_ONLY_DEFENSIVE
UNIT_BYZANTINE_DROMON;PROMOTION_NAVAL_BONUS
UNIT_BYZANTINE_CATAPHRACT;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_BYZANTINE_CATAPHRACT;PROMOTION_SMALL_CITY_PENALTY
UNIT_CARTHAGINIAN_FOREST_ELEPHANT;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_CARTHAGINIAN_FOREST_ELEPHANT;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_CARTHAGINIAN_FOREST_ELEPHANT;PROMOTION_CITY_PENALTY
UNIT_CARTHAGINIAN_FOREST_ELEPHANT;PROMOTION_FEARED_ELEPHANT
UNIT_CARTHAGINIAN_FOREST_ELEPHANT;PROMOTION_SPAWN_GENERALS_II
UNIT_CARTHAGINIAN_QUINQUEREME;PROMOTION_OCEAN_IMPASSABLE
UNIT_HUN_HORSE_ARCHER;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_HUN_HORSE_ARCHER;PROMOTION_ONLY_DEFENSIVE
UNIT_HUN_HORSE_ARCHER;PROMOTION_ACCURACY_1
UNIT_HUN_BATTERING_RAM;PROMOTION_CITY_ASSAULT
UNIT_HUN_BATTERING_RAM;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_HUN_BATTERING_RAM;PROMOTION_DEFENSE_PENALTY
UNIT_HUN_BATTERING_RAM;PROMOTION_SIGHT_PENALTY
UNIT_HUN_BATTERING_RAM;PROMOTION_COVER_1
UNIT_HUN_BATTERING_RAM;PROMOTION_ONLY_ATTACKS_CITIES
UNIT_AUSTRIAN_HUSSAR;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_AUSTRIAN_HUSSAR;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_AUSTRIAN_HUSSAR;PROMOTION_CITY_PENALTY
UNIT_AUSTRIAN_HUSSAR;PROMOTION_EXTRA_SIGHT_I
UNIT_AUSTRIAN_HUSSAR;PROMOTION_FLANK_ATTACK_BONUS
UNIT_SWEDISH_CAROLEAN;PROMOTION_MARCH
UNIT_SWEDISH_HAKKAPELIITTA;PROMOTION_MOVEMENT_TO_GENERAL
UNIT_SWEDISH_HAKKAPELIITTA;PROMOTION_GENERAL_STACKING
UNIT_SWEDISH_HAKKAPELIITTA;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_SWEDISH_HAKKAPELIITTA;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_SWEDISH_HAKKAPELIITTA;PROMOTION_CITY_PENALTY
UNIT_SWEDISH_HAKKAPELIITTA;PROMOTION_FORMATION_1
UNIT_DUTCH_SEA_BEGGAR;PROMOTION_COASTAL_RAIDER_1
UNIT_DUTCH_SEA_BEGGAR;PROMOTION_COASTAL_RAIDER_2
UNIT_DUTCH_SEA_BEGGAR;PROMOTION_PRIZE_SHIPS
UNIT_DUTCH_SEA_BEGGAR;PROMOTION_SUPPLY
UNIT_SPANISH_TERCIO;PROMOTION_ANTI_MOUNTED_I
UNIT_SPANISH_CONQUISTADOR;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_SPANISH_CONQUISTADOR;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_SPANISH_CONQUISTADOR;PROMOTION_EXTRA_SIGHT_II
UNIT_SPANISH_CONQUISTADOR;PROMOTION_DEFENSIVE_EMBARKATION
UNIT_PROPHET;PROMOTION_RIVAL_TERRITORY
UNIT_PROPHET;PROMOTION_SIGHT_PENALTY
UNIT_MISSIONARY;PROMOTION_RIVAL_TERRITORY
UNIT_MISSIONARY;PROMOTION_SIGHT_PENALTY
UNIT_MISSIONARY;PROMOTION_UNWELCOME_EVANGELIST
UNIT_COMPOSITE_BOWMAN;PROMOTION_ONLY_DEFENSIVE
UNIT_GALLEASS;PROMOTION_OCEAN_IMPASSABLE
UNIT_GALLEASS;PROMOTION_ONLY_DEFENSIVE
UNIT_MARINE;PROMOTION_AMPHIBIOUS
UNIT_MARINE;PROMOTION_EMBARKED_SIGHT
UNIT_MARINE;PROMOTION_DEFENSIVE_EMBARKATION
UNIT_TRIPLANE;PROMOTION_INTERCEPTION_III
UNIT_TRIPLANE;PROMOTION_AIR_SWEEP
UNIT_TRIPLANE;PROMOTION_AIR_RECON
UNIT_TRIPLANE;PROMOTION_ANTI_AIR_II
UNIT_WWI_TANK;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_WWI_TANK;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_GATLINGGUN;PROMOTION_ONLY_DEFENSIVE
UNIT_MACHINE_GUN;PROMOTION_ONLY_DEFENSIVE
UNIT_PRIVATEER;PROMOTION_COASTAL_RAIDER_1
UNIT_PRIVATEER;PROMOTION_PRIZE_SHIPS
UNIT_INQUISITOR;PROMOTION_EXTRA_SIGHT_I
UNIT_GREAT_ADMIRAL;PROMOTION_GREAT_ADMIRAL
UNIT_ETHIOPIAN_MEHAL_SEFARI;PROMOTION_DRILL_1
UNIT_ETHIOPIAN_MEHAL_SEFARI;PROMOTION_DEFEND_NEAR_CAPITAL
UNIT_ZULU_IMPI;PROMOTION_ANTI_MOUNTED_I
UNIT_ZULU_IMPI;PROMOTION_ANTI_GUNPOWDER
UNIT_VENETIAN_MERCHANT;PROMOTION_TRADE_MISSION_BONUS
UNIT_CARGO_SHIP;PROMOTION_SIGHT_PENALTY
UNIT_CARAVAN;PROMOTION_SIGHT_PENALTY
UNIT_POLISH_WINGED_HUSSAR;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_POLISH_WINGED_HUSSAR;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_POLISH_WINGED_HUSSAR;PROMOTION_CITY_PENALTY
UNIT_POLISH_WINGED_HUSSAR;PROMOTION_HEAVY_CHARGE
UNIT_POLISH_WINGED_HUSSAR;PROMOTION_SHOCK_1
UNIT_POLISH_WINGED_HUSSAR;PROMOTION_FORMATION_1
UNIT_ASSYRIAN_SIEGE_TOWER;PROMOTION_SAPPER
UNIT_ASSYRIAN_SIEGE_TOWER;PROMOTION_CITY_SIEGE
UNIT_ASSYRIAN_SIEGE_TOWER;PROMOTION_COVER_1
UNIT_ASSYRIAN_SIEGE_TOWER;PROMOTION_ONLY_ATTACKS_CITIES
UNIT_ASSYRIAN_SIEGE_TOWER;PROMOTION_EXTRA_SIGHT_I
UNIT_ASSYRIAN_SIEGE_TOWER;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_BRAZILIAN_PRACINHA;PROMOTION_GOLDEN_AGE_POINTS
UNIT_PORTUGUESE_NAU;PROMOTION_SELL_EXOTIC_GOODS
UNIT_PORTUGUESE_NAU;PROMOTION_EXTRA_SIGHT_I
UNIT_PORTUGUESE_NAU;PROMOTION_WITHDRAW_BEFORE_MELEE
UNIT_BERBER_CAVALRY;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_BERBER_CAVALRY;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_BERBER_CAVALRY;PROMOTION_CITY_PENALTY
UNIT_BERBER_CAVALRY;PROMOTION_DESERT_WARRIOR
UNIT_BERBER_CAVALRY;PROMOTION_HOMELAND_GUARDIAN
UNIT_SHOSHONE_COMANCHE_RIDERS;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_SHOSHONE_COMANCHE_RIDERS;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_SHOSHONE_COMANCHE_RIDERS;PROMOTION_CITY_PENALTY
UNIT_SHOSHONE_COMANCHE_RIDERS;PROMOTION_MOON_STRIKER
UNIT_SHOSHONE_PATHFINDER;PROMOTION_GOODY_HUT_PICKER
UNIT_SHOSHONE_PATHFINDER;PROMOTION_IGNORE_TERRAIN_COST
UNIT_BAZOOKA;PROMOTION_ONLY_DEFENSIVE
UNIT_KRIS_SWORDSMAN;PROMOTION_MYSTIC_BLADE
UNIT_BARBARIAN_HORSEMAN;PROMOTION_NO_DEFENSIVE_BONUSES
UNIT_BARBARIAN_HORSEMAN;PROMOTION_CAN_MOVE_AFTER_ATTACKING
UNIT_BARBARIAN_HORSEMAN;PROMOTION_CITY_PENALTY
UNIT_VENETIAN_GALLEASS;PROMOTION_ONLY_DEFENSIVE
UNIT_VENETIAN_GALLEASS;PROMOTION_OCEAN_IMPASSABLE
UNIT_BARBARIAN_AXMAN;PROMOTION_ONLY_DEFENSIVE
UNIT_XCOM_SQUAD;PROMOTION_EXTENDED_PARADROP
