UnitType;UnitClassType
UNIT_OTTOMAN_JANISSARY;UNITCLASS_RIFLEMAN
UNIT_CANNON;UNITCLASS_ARTILLERY
UNIT_RIFLEMAN;UNITCLASS_GREAT_WAR_INFANTRY
UNIT_IRONCLAD;UNITCLASS_DESTROYER
UNIT_INFANTRY;UNITCLASS_MECHANIZED_INFANTRY
UNIT_FRENCH_FOREIGNLEGION;UNITCLASS_INFANTRY
UNIT_ARTILLERY;UNITCLASS_ROCKET_ARTILLERY
UNIT_TANK;UNITCLASS_MODERN_ARMOR
UNIT_GERMAN_PANZER;UNITCLASS_MODERN_ARMOR
UNIT_ANTI_TANK_GUN;UNITCLASS_HELICOPTER_GUNSHIP
UNIT_ANTI_AIRCRAFT_GUN;UNITCLASS_MOBILE_SAM
UNIT_FIGHTER;UNITCLASS_JET_FIGHTER
UNIT_JAPANESE_ZERO;UNITCLASS_JET_FIGHTER
UNIT_BOMBER;UNITCLASS_STEALTH_BOMBER
UNIT_AMERICAN_B17;UNITCLASS_STEALTH_BOMBER
UNIT_MODERN_ARMOR;UNITCLASS_MECH
UNIT_PARATROOPER;UNITCLASS_XCOM_SQUAD
UNIT_MONGOLIAN_KESHIK;UNITCLASS_CAVALRY
UNIT_INCAN_SLINGER;UNITCLASS_COMPOSITE_BOWMAN
UNIT_POLYNESIAN_MAORI_WARRIOR;UNITCLASS_SWORDSMAN
UNIT_DANISH_BERSERKER;UNITCLASS_MUSKETMAN
UNIT_DANISH_SKI_INFANTRY;UNITCLASS_GREAT_WAR_INFANTRY
UNIT_KOREAN_TURTLE_SHIP;UNITCLASS_IRONCLAD
UNIT_KOREAN_HWACHA;UNITCLASS_CANNON
UNIT_BABYLONIAN_BOWMAN;UNITCLASS_COMPOSITE_BOWMAN
UNIT_CELT_PICTISH_WARRIOR;UNITCLASS_PIKEMAN
UNIT_MAYAN_ATLATLIST;UNITCLASS_COMPOSITE_BOWMAN
UNIT_BYZANTINE_DROMON;UNITCLASS_GALLEASS
UNIT_BYZANTINE_CATAPHRACT;UNITCLASS_KNIGHT
UNIT_CARTHAGINIAN_FOREST_ELEPHANT;UNITCLASS_KNIGHT
UNIT_CARTHAGINIAN_QUINQUEREME;UNITCLASS_CARAVEL
UNIT_HUN_HORSE_ARCHER;UNITCLASS_KNIGHT
UNIT_HUN_BATTERING_RAM;UNITCLASS_TREBUCHET
UNIT_AUSTRIAN_HUSSAR;UNITCLASS_WWI_TANK
UNIT_SWEDISH_CAROLEAN;UNITCLASS_GREAT_WAR_INFANTRY
UNIT_SWEDISH_HAKKAPELIITTA;UNITCLASS_ANTI_TANK_GUN
UNIT_WWI_TANK;UNITCLASS_TANK
UNIT_DUTCH_SEA_BEGGAR;UNITCLASS_DESTROYER
UNIT_SPANISH_TERCIO;UNITCLASS_RIFLEMAN
UNIT_SPANISH_CONQUISTADOR;UNITCLASS_CAVALRY
UNIT_COMPOSITE_BOWMAN;UNITCLASS_CROSSBOWMAN
UNIT_GATLINGGUN;UNITCLASS_MACHINE_GUN
UNIT_GALLEASS;UNITCLASS_FRIGATE
UNIT_GREAT_WAR_INFANTRY;UNITCLASS_INFANTRY
UNIT_TRIPLANE;UNITCLASS_FIGHTER
UNIT_WWI_BOMBER;UNITCLASS_BOMBER
UNIT_WWI_TANK;UNITCLASS_TANK
UNIT_MACHINE_GUN;UNITCLASS_BAZOOKA
UNIT_PRIVATEER;UNITCLASS_DESTROYER
UNIT_ETHIOPIAN_MEHAL_SEFARI;UNITCLASS_GREAT_WAR_INFANTRY
UNIT_ZULU_IMPI;UNITCLASS_RIFLEMAN
UNIT_POLISH_WINGED_HUSSAR;UNITCLASS_ANTI_TANK_GUN
UNIT_ASSYRIAN_SIEGE_TOWER;UNITCLASS_TREBUCHET
UNIT_BRAZILIAN_PRACINHA;UNITCLASS_MECHANIZED_INFANTRY
UNIT_PORTUGUESE_NAU;UNITCLASS_IRONCLAD
UNIT_BERBER_CAVALRY;UNITCLASS_WWI_TANK
UNIT_VENETIAN_GALLEASS;UNITCLASS_FRIGATE
UNIT_SHOSHONE_COMANCHE_RIDERS;UNITCLASS_WWI_TANK
UNIT_KRIS_SWORDSMAN;UNITCLASS_LONGSWORDSMAN
UNIT_BARBARIAN_HORSEMAN;UNITCLASS_KNIGHT
UNIT_BARBARIAN_AXMAN;UNITCLASS_KNIGHT
