ID;Type;Description;Civilopedia;Strategy;Help;Requirements;Combat;RangedCombat;Cost;FaithCost;RequiresFaithPurchaseEnabled;PurchaseOnly;MoveAfterPurchase;Moves;Immobile;Range;BaseSightRange;Class;Special;Capture;CombatClass;Domain;CivilianAttackPriority;DefaultUnitAI;Food;NoBadGoodies;RivalTerritory;MilitarySupport;MilitaryProduction;Pillage;PillagePrereqTech;Found;FoundAbroad;CultureBombRadius;GoldenAgeTurns;FreePolicies;OneShotTourism;OneShotTourismPercentOthers;IgnoreBuildingDefense;PrereqResources;Mechanized;Suicide;CaptureWhileEmbarked;PrereqTech;ObsoleteTech;GoodyHutUpgradeUnitClass;HurryCostModifier;AdvancedStartCost;MinAreaSize;AirInterceptRange;AirUnitCap;NukeDamageLevel;WorkRate;NumFreeTechs;BaseBeakersTurnsToCount;BaseCultureTurnsToCount;RushBuilding;BaseHurry;HurryMultiplier;BaseGold;NumGoldPerEra;SpreadReligion;RemoveHeresy;ReligionSpreads;ReligiousStrength;FoundReligion;RequiresEnhancedReligion;ProhibitsSpread;CanBuyCityState;CombatLimit;RangeAttackOnlyInDomain;RangeAttackIgnoreLOS;Trade;NumExoticGoods;PolicyType;RangedCombatLimit;XPValueAttack;XPValueDefense;SpecialCargo;DomainCargo;Conscription;ExtraMaintenanceCost;NoMaintenance;Unhappiness;UnitArtInfo;UnitArtInfoCulturalVariation;UnitArtInfoEraVariation;ProjectPrereq;SpaceshipProject;LeaderPromotion;LeaderExperience;DontShowYields;ShowInPedia;MoveRate;UnitFlagIconOffset;PortraitIndex;IconAtlas;UnitFlagAtlas
10;UNIT_SS_COCKPIT;TXT_KEY_SS_COCKPIT;TXT_KEY_PROJECT_SS_COCKPIT_PEDIA;TXT_KEY_PROJECT_SS_COCKPIT_STRATEGY;TXT_KEY_UNIT_HELP_SS_PART;;0;0;1500;0;0;0;0;2;0;0;2;UNITCLASS_SS_COCKPIT;;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_SPACESHIP_PART;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;TECH_SATELLITES;;;-1;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_SS_CAPSULE;0;0;PROJECT_APOLLO_PROGRAM;PROJECT_SS_COCKPIT;;0;0;1;WHEELED;84;36;BW_ATLAS_2;UNIT_FLAG_ATLAS
11;UNIT_SS_BOOSTER;TXT_KEY_SS_BOOSTER;TXT_KEY_PROJECT_SS_BOOSTER_PEDIA;TXT_KEY_PROJECT_SS_BOOSTER_STRATEGY;TXT_KEY_UNIT_HELP_SS_BOOSTER;;0;0;1500;0;0;0;0;2;0;0;2;UNITCLASS_SS_BOOSTER;;;;DOMAIN_LAND;CIVILIAN_ATTACK_PRIORITY_HIGH;UNITAI_SPACESHIP_PART;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;TECH_ADVANCED_BALLISTICS;;;-1;-1;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;ART_DEF_UNIT_SS_BOOSTER;0;0;PROJECT_APOLLO_PROGRAM;PROJECT_SS_BOOSTER;;0;0;1;WHEELED;87;35;BW_ATLAS_2;UNIT_FLAG_ATLAS
12;UNIT_MISSILE_CRUISER;TXT_KEY_UNIT_MISSILE_CRUISER;TXT_KEY_CIVILOPEDIA_UNITS_MODERN_MISSLECRUISER_TEXT;TXT_KEY_UNIT_MISSILE_CRUISER_STRATEGY;TXT_KEY_UNIT_HELP_MISSILE_CRUISER;;80;100;425;0;0;0;0;7;0;3;2;UNITCLASS_MISSILE_CRUISER;;;UNITCOMBAT_NAVALRANGED;DOMAIN_SEA;;UNITAI_ASSAULT_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_ROBOTICS;;;0;60;10;3;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;SPECIALUNIT_MISSILE;DOMAIN_AIR;0;0;0;0;ART_DEF_UNIT_MISSILE_CRUISER;0;0;;;;0;0;1;BOAT;80;33;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
13;UNIT_NUCLEAR_SUBMARINE;TXT_KEY_UNIT_NUCLEAR_SUBMARINE;TXT_KEY_CIVILOPEDIA_UNITS_MODERN_NUCLEARSUBMARINE_TEXT;TXT_KEY_UNIT_NUCLEAR_SUBMARINE_STRATEGY;TXT_KEY_UNIT_HELP_NUCLEAR_SUBMARINE;;50;85;425;0;0;0;0;6;0;3;2;UNITCLASS_NUCLEAR_SUBMARINE;;;UNITCOMBAT_SUBMARINE;DOMAIN_SEA;;UNITAI_ASSAULT_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_TELECOM;;;0;60;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;0;0;0;;0;3;3;SPECIALUNIT_MISSILE;DOMAIN_AIR;0;0;0;0;ART_DEF_UNIT_NUCLEAR_SUBMARINE;0;0;;;;0;0;1;SUB;81;34;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
14;UNIT_CARRIER;TXT_KEY_UNIT_CARRIER;TXT_KEY_CIV5_INDUSTRIAL_CARRIER_TEXT;TXT_KEY_UNIT_CARRIER_STRATEGY;TXT_KEY_UNIT_HELP_CARRIER;;40;0;375;0;0;0;0;5;0;0;2;UNITCLASS_CARRIER;;;UNITCOMBAT_CARRIER;DOMAIN_SEA;;UNITAI_CARRIER_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_ELECTRONICS;;;0;60;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;SPECIALUNIT_FIGHTER;DOMAIN_AIR;0;0;0;0;ART_DEF_UNIT_CARRIER;0;0;;;;0;0;1;BOAT;70;23;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
15;UNIT_BATTLESHIP;TXT_KEY_UNIT_BATTLESHIP;TXT_KEY_CIV5_INDUSTRIAL_BATTLESHIP_TEXT;TXT_KEY_UNIT_BATTLESHIP_STRATEGY;TXT_KEY_UNIT_HELP_BATTLESHIP;;55;65;375;0;0;0;0;5;0;3;2;UNITCLASS_BATTLESHIP;;;UNITCOMBAT_NAVALRANGED;DOMAIN_SEA;;UNITAI_ASSAULT_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_ELECTRONICS;;;0;60;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_BATTLESHIP;0;0;;;;0;0;1;BOAT;68;21;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
16;UNIT_SUBMARINE;TXT_KEY_UNIT_SUBMARINE;TXT_KEY_CIV5_INDUSTRIAL_SUBMARINE_TEXT;TXT_KEY_UNIT_SUBMARINE_STRATEGY;TXT_KEY_UNIT_HELP_SUBMARINE;;35;60;325;0;0;0;0;5;0;2;2;UNITCLASS_SUBMARINE;;;UNITCOMBAT_SUBMARINE;DOMAIN_SEA;;UNITAI_ASSAULT_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_REFRIGERATION;TECH_TELECOM;;0;60;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_SUBMARINE;0;0;;;;0;0;1;SUB;69;22;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
17;UNIT_DESTROYER;TXT_KEY_UNIT_DESTROYER;TXT_KEY_CIV5_INDUSTRIAL_DESTROYER_TEXT;TXT_KEY_UNIT_DESTROYER_STRATEGY;TXT_KEY_UNIT_HELP_DESTROYER;;55;0;375;0;0;0;0;6;0;0;2;UNITCLASS_DESTROYER;;;UNITCOMBAT_NAVALMELEE;DOMAIN_SEA;;UNITAI_ATTACK_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_COMBUSTION;;;0;60;10;2;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_DESTROYER;0;0;;;;0;0;1;BOAT;67;20;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
18;UNIT_IRONCLAD;TXT_KEY_UNIT_IRONCLAD;TXT_KEY_CIVILOPEDIA_UNITS_RENAISSANCE_IRONCLAD_TEXT;TXT_KEY_UNIT_IRONCLAD_STRATEGY;TXT_KEY_UNIT_HELP_IRONCLAD;;45;0;250;0;0;0;0;3;0;0;2;UNITCLASS_IRONCLAD;;;UNITCOMBAT_NAVALMELEE;DOMAIN_SEA;;UNITAI_ATTACK_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_STEAM_POWER;TECH_COMBUSTION;;0;50;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_IRONCLAD;0;0;;;;0;0;1;BOAT;53;10;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
19;UNIT_FRIGATE;TXT_KEY_UNIT_FRIGATE;TXT_KEY_CIVILOPEDIA_UNITS_RENAISSANCE_FRIGATE_TEXT;TXT_KEY_UNIT_FRIGATE_STRATEGY;TXT_KEY_UNIT_HELP_FRIGATE;;25;28;185;0;0;0;0;5;0;2;2;UNITCLASS_FRIGATE;;;UNITCOMBAT_NAVALRANGED;DOMAIN_SEA;;UNITAI_ASSAULT_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;0;0;1;0;0;TECH_NAVIGATION;TECH_ELECTRONICS;;20;50;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_FRIGATE;0;0;;;;0;0;1;WOODEN_BOAT;51;8;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
20;UNIT_ENGLISH_SHIPOFTHELINE;TXT_KEY_UNIT_ENGLISH_SHIPOFTHELINE;TXT_KEY_CIVILOPEDIA_UNITS_RENAISSANCE_SHIPOFTHELINE_TEXT;TXT_KEY_UNIT_ENGLISH_SHIPOFTHELINE_STRATEGY;TXT_KEY_UNIT_HELP_SHIPOFTHELINE;;30;35;170;0;0;0;0;5;0;2;2;UNITCLASS_FRIGATE;;;UNITCOMBAT_NAVALRANGED;DOMAIN_SEA;;UNITAI_ASSAULT_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;0;0;1;0;0;TECH_NAVIGATION;TECH_ELECTRONICS;;20;50;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_U_ENGLISH_SHIPOFTHELINE;0;0;;;;0;0;1;WOODEN_BOAT;52;9;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
21;UNIT_CARAVEL;TXT_KEY_UNIT_CARAVEL;TXT_KEY_CIVILOPEDIA_UNITS_RENAISSANCE_CARAVEL_TEXT;TXT_KEY_UNIT_CARAVEL_STRATEGY;TXT_KEY_UNIT_HELP_CARAVEL;;20;0;120;0;0;0;0;4;0;0;2;UNITCLASS_CARAVEL;;;UNITCOMBAT_NAVALMELEE;DOMAIN_SEA;;UNITAI_EXPLORE_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;0;0;1;0;0;TECH_ASTRONOMY;TECH_STEAM_POWER;;30;50;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_CARAVEL;0;0;;;;0;0;1;BOAT;42;43;UNIT_ATLAS_1;UNIT_FLAG_ATLAS
22;UNIT_TRIREME;TXT_KEY_UNIT_TRIREME;TXT_KEY_CIV5_ANTIQUITY_TRIREME_TEXT;TXT_KEY_UNIT_TRIREME_STRATEGY;TXT_KEY_UNIT_HELP_TRIREME;;10;0;45;0;0;0;0;4;0;0;2;UNITCLASS_TRIREME;;;UNITCOMBAT_NAVALMELEE;DOMAIN_SEA;;UNITAI_ATTACK_SEA;0;0;0;1;1;1;;0;0;0;0;0;0;0;0;0;1;0;0;TECH_SAILING;TECH_ASTRONOMY;;0;30;10;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_TRIREME;0;0;;;;0;0;1;WOODEN_BOAT;24;24;UNIT_ATLAS_1;UNIT_FLAG_ATLAS
23;UNIT_MECH;TXT_KEY_UNIT_MECH;TXT_KEY_CIVILOPEDIA_UNITS_MODERN_MECH_TEXT;TXT_KEY_UNIT_MECH_STRATEGY;TXT_KEY_UNIT_HELP_MECH;;150;0;550;1100;1;0;0;5;0;0;2;UNITCLASS_MECH;;;UNITCOMBAT_ARMOR;DOMAIN_LAND;;UNITAI_ATTACK;0;0;0;1;1;1;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_NUCLEAR_FUSION;;;0;80;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;0;3;3;;;0;0;0;0;ART_DEF_UNIT_MECH;0;0;;;;0;0;1;ROBOT;83;36;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
24;UNIT_NUCLEAR_MISSILE;TXT_KEY_UNIT_NUCLEAR_MISSILE;TXT_KEY_CIVILOPEDIA_UNITS_MODERN_NUCLEARMISSLE_TEXT;TXT_KEY_UNIT_NUCLEAR_MISSILE_STRATEGY;TXT_KEY_UNIT_HELP_NUCLEAR_MISSILE;;0;0;1000;0;0;0;0;2;1;12;2;UNITCLASS_NUCLEAR_MISSILE;SPECIALUNIT_MISSILE;;;DOMAIN_AIR;;UNITAI_ICBM;0;0;0;1;1;0;;0;0;0;0;0;0;0;1;0;1;1;0;TECH_ADVANCED_BALLISTICS;;;0;80;-1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;100;0;2;;;0;0;0;0;ART_DEF_UNIT_NUCLEAR_MISSILE;0;0;PROJECT_MANHATTAN_PROJECT;;;0;0;1;AIR_REBASE;82;35;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
25;UNIT_STEALTH_BOMBER;TXT_KEY_UNIT_STEALTH_BOMBER;TXT_KEY_CIVILOPEDIA_UNITS_MODERN_STEALTHBOMBER_TEXT;TXT_KEY_UNIT_STEALTH_BOMBER_STRATEGY;TXT_KEY_UNIT_HELP_STEALTH_BOMBER;;0;85;425;0;0;0;0;2;1;20;2;UNITCLASS_STEALTH_BOMBER;SPECIALUNIT_STEALTH;;UNITCOMBAT_BOMBER;DOMAIN_AIR;;UNITAI_ATTACK_AIR;0;0;0;1;1;0;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_STEALTH;;;0;70;-1;0;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;100;3;2;;;0;0;0;0;ART_DEF_UNIT_STEALTH_BOMBER;0;0;;;;0;0;1;AIR_REBASE;79;37;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
26;UNIT_JET_FIGHTER;TXT_KEY_UNIT_JET_FIGHTER;TXT_KEY_CIVILOPEDIA_UNITS_MODERN_JETFIGHTER_TEXT;TXT_KEY_UNIT_JET_FIGHTER_STRATEGY;TXT_KEY_UNIT_HELP_JET_FIGHTER;;0;75;425;0;0;0;0;2;1;10;2;UNITCLASS_JET_FIGHTER;SPECIALUNIT_FIGHTER;;UNITCOMBAT_FIGHTER;DOMAIN_AIR;;UNITAI_DEFENSE_AIR;0;0;0;1;1;0;;0;0;0;0;0;0;0;1;0;1;0;0;TECH_LASERS;;;0;70;-1;10;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;100;3;2;;;0;0;0;0;ART_DEF_UNIT_JET_FIGHTER;0;0;;;;0;0;1;AIR_REBASE;78;31;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
27;UNIT_GUIDED_MISSILE;TXT_KEY_UNIT_GUIDED_MISSILE;TXT_KEY_CIVILOPEDIA_UNITS_MODERN_GUIDEDMISSLE_TEXT;TXT_KEY_UNIT_GUIDED_MISSILE_STRATEGY;TXT_KEY_UNIT_HELP_GUIDED_MISSILE;;0;60;150;0;0;0;0;2;1;8;2;UNITCLASS_GUIDED_MISSILE;SPECIALUNIT_MISSILE;;;DOMAIN_AIR;;UNITAI_MISSILE_AIR;0;0;0;1;1;0;;0;0;0;0;0;0;0;1;0;1;1;0;TECH_ADVANCED_BALLISTICS;;;0;40;-1;0;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;100;0;2;;;0;0;1;0;ART_DEF_UNIT_GUIDED_MISSILE;0;0;;;;0;0;1;AIR_REBASE;77;30;UNIT_ATLAS_2;UNIT_FLAG_ATLAS
