ID;Type;Description;Civilopedia;Help;ResourceClassType;ArtDefineTag;AltArtDefineTag;ArtDefineTagHeavy;AltArtDefineTagHeavy;TechReveal;PolicyReveal;TechCityTrade;TechObsolete;AIStopTradingEra;CivilizationType;Happiness;WonderProductionMod;WonderProductionModObsoleteEra;StartingResourceQuantity;AITradeModifier;AIObjective;PlacementOrder;ConstAppearance;MinAreaSize;MinLatitude;MaxLatitude;RandApp1;RandApp2;RandApp3;RandApp4;Player;TilesPer;MinLandPercent;Unique;GroupRange;GroupRand;ResourceUsage;PresentOnAllValidPlots;Area;Hills;Flatlands;NoRiverSide;Normalize;OnlyMinorCivs;IconString;PortraitIndex;IconAtlas
10;RESOURCE_BANANA;TXT_KEY_RESOURCE_BANANAS;TXT_KEY_CIV5_RESOURCE_BANANAS_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_BANANA;;;;;;TECH_CALENDAR;;;;0;0;;0;0;0;4;50;3;0;90;25;25;0;0;0;6;0;1;0;0;0;0;0;0;1;0;1;0;[ICON_RES_BANANA];11;RESOURCE_ATLAS
11;RESOURCE_FISH;TXT_KEY_RESOURCE_FISH;TXT_KEY_CIV5_RESOURCE_FISH_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_FISH;;;;;;TECH_SAILING;;;;0;0;;0;0;0;4;50;10;0;90;25;25;0;0;0;12;0;2;0;0;0;0;0;0;0;0;1;0;[ICON_RES_FISH];9;RESOURCE_ATLAS
12;RESOURCE_STONE;TXT_KEY_RESOURCE_STONE;TXT_KEY_CIV5_RESOURCE_STONE_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_STONE;;;;;;TECH_MASONRY;;;;0;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;3;0;0;0;0;0;1;0;1;0;0;[ICON_RES_STONE];0;EXTENDED_RESOURCE_ATLAS
13;RESOURCE_WHALE;TXT_KEY_RESOURCE_WHALES;TXT_KEY_CIV5_RESOURCE_WHALES_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_WHALE;;;;;;TECH_SAILING;;;;4;0;;0;0;0;4;50;10;0;90;25;25;0;0;67;0;0;3;0;0;2;0;0;0;0;0;0;0;[ICON_RES_WHALE];10;RESOURCE_ATLAS
14;RESOURCE_PEARLS;TXT_KEY_RESOURCE_PEARLS;TXT_KEY_CIV5_RESOURCE_PEARLS_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_PEARLS;;;;;;TECH_SAILING;;;;4;0;;0;0;0;4;50;10;0;90;25;25;0;0;67;0;0;0;2;15;2;0;0;0;0;0;0;0;[ICON_RES_PEARLS];21;RESOURCE_ATLAS
15;RESOURCE_GOLD;TXT_KEY_RESOURCE_GOLD;TXT_KEY_CIV5_RESOURCE_GOLD_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_GOLD;ART_DEF_RESOURCE_GOLD;;;;;TECH_MINING;;;;4;0;;0;0;3;4;50;3;0;90;25;25;0;0;67;0;0;3;0;0;2;0;0;1;0;0;0;0;[ICON_RES_GOLD];12;RESOURCE_ATLAS
16;RESOURCE_SILVER;TXT_KEY_RESOURCE_SILVER;TXT_KEY_CIV5_RESOURCE_SILVER_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_SILVER;;;;;;TECH_MINING;;;;4;0;;0;0;3;4;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;1;0;0;0;0;[ICON_RES_SILVER];24;RESOURCE_ATLAS
17;RESOURCE_GEMS;TXT_KEY_RESOURCE_GEMS;TXT_KEY_CIV5_RESOURCE_GEMS_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_GEMS;ART_DEF_RESOURCE_GEMS;;;;;TECH_MINING;;;;4;0;;0;0;0;4;50;3;0;90;25;25;0;0;67;0;0;4;0;0;2;0;0;1;0;0;0;0;[ICON_RES_GEMS];13;RESOURCE_ATLAS
18;RESOURCE_MARBLE;TXT_KEY_RESOURCE_MARBLE;TXT_KEY_CIV5_RESOURCE_MARBLE_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_MARBLE;ART_DEF_RESOURCE_MARBLE;;;;;TECH_MASONRY;;;;4;15;ERA_MEDIEVAL;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;3;0;0;2;0;0;1;0;1;0;0;[ICON_RES_MARBLE];14;RESOURCE_ATLAS
19;RESOURCE_IVORY;TXT_KEY_RESOURCE_IVORY;TXT_KEY_CIV5_RESOURCE_IVORY_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_IVORY;;;;;;TECH_TRAPPING;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_IVORY];15;RESOURCE_ATLAS
20;RESOURCE_FUR;TXT_KEY_RESOURCE_FURS;TXT_KEY_CIV5_RESOURCE_FURS_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_FURS;ART_DEF_RESOURCE_FURS_HILL;;;;;TECH_TRAPPING;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_FUR];25;RESOURCE_ATLAS
21;RESOURCE_DYE;TXT_KEY_RESOURCE_DYES;TXT_KEY_CIV5_RESOURCE_DYES_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_DYE;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_DYE];16;RESOURCE_ATLAS
22;RESOURCE_SPICES;TXT_KEY_RESOURCE_SPICES;TXT_KEY_CIV5_RESOURCE_SPICES_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_SPICE;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_SPICES];17;RESOURCE_ATLAS
23;RESOURCE_SILK;TXT_KEY_RESOURCE_SILK;TXT_KEY_CIV5_RESOURCE_SILK_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_SILK;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_SILK];18;RESOURCE_ATLAS
24;RESOURCE_SUGAR;TXT_KEY_RESOURCE_SUGAR;TXT_KEY_CIV5_RESOURCE_SUGAR_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_SUGAR;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_SUGAR];19;RESOURCE_ATLAS
25;RESOURCE_COTTON;TXT_KEY_RESOURCE_COTTON;TXT_KEY_CIV5_RESOURCE_COTTON_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_COTTON;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_COTTON];20;RESOURCE_ATLAS
26;RESOURCE_WINE;TXT_KEY_RESOURCE_WINE;TXT_KEY_CIV5_RESOURCE_WINE_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_WINE;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_WINE];23;RESOURCE_ATLAS
27;RESOURCE_INCENSE;TXT_KEY_RESOURCE_INCENSE;TXT_KEY_CIV5_RESOURCE_INCENSE_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_INCENSE;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;10;2;0;0;0;1;0;0;0;[ICON_RES_INCENSE];22;RESOURCE_ATLAS
28;RESOURCE_JEWELRY;TXT_KEY_RESOURCE_JEWELRY;TXT_KEY_CIV5_RESOURCE_JEWELRY_TEXT;TXT_KEY_RESOURCE_JEWELRY_HELP;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_MARBLE;;;;;;;;;;4;0;;0;0;0;3;50;1500;0;90;25;25;0;0;67;0;0;0;0;0;2;0;0;0;1;0;0;1;[ICON_RES_JEWELRY];3;EXPANSION_RESOURCE_ATLAS
29;RESOURCE_PORCELAIN;TXT_KEY_RESOURCE_PORCELAIN;TXT_KEY_CIV5_RESOURCE_PORCELAIN_TEXT;TXT_KEY_RESOURCE_PORCELAIN_HELP;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_MARBLE;;;;;;;;;;4;0;;0;0;0;3;50;1500;0;90;25;25;0;0;67;0;0;0;0;0;2;0;0;0;1;0;0;1;[ICON_RES_PORCELAIN];4;EXPANSION_RESOURCE_ATLAS
30;RESOURCE_COPPER;TXT_KEY_RESOURCE_COPPER;TXT_KEY_CIV5_RESOURCE_COPPER_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_COPPER;;;;;;TECH_MINING;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_COPPER];1;EXPANSION_RESOURCE_ATLAS
31;RESOURCE_SALT;TXT_KEY_RESOURCE_SALT;TXT_KEY_CIV5_RESOURCE_SALT_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_SALT;;;;;;TECH_MINING;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_SALT];5;EXPANSION_RESOURCE_ATLAS
32;RESOURCE_CRAB;TXT_KEY_RESOURCE_CRAB;TXT_KEY_CIV5_RESOURCE_CRAB_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_CRAB;;;;;;TECH_SAILING;;;;4;0;;0;0;0;3;50;10;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_CRAB];2;EXPANSION_RESOURCE_ATLAS
33;RESOURCE_TRUFFLES;TXT_KEY_RESOURCE_TRUFFLES;TXT_KEY_CIV5_RESOURCE_TRUFFLES_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_TRUFFLES;;;;;;TECH_TRAPPING;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_TRUFFLES];6;EXPANSION_RESOURCE_ATLAS
34;RESOURCE_CITRUS;TXT_KEY_RESOURCE_CITRUS;TXT_KEY_CIV5_RESOURCE_CITRUS_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_CITRUS;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;15;2;0;0;0;1;0;0;0;[ICON_RES_CITRUS];0;EXPANSION_RESOURCE_ATLAS
35;RESOURCE_ARTIFACTS;TXT_KEY_RESOURCE_ARTIFACTS;TXT_KEY_CIV5_RESOURCE_ARTIFACTS_TEXT;TXT_KEY_RESOURCE_ARTIFACTS_HELP;RESOURCECLASS_RUSH;ART_DEF_RESOURCE_ARTIFACTS;;;;TECH_ARCHAEOLOGY;;;;;;0;0;;0;0;0;0;100;3;0;90;0;0;0;0;100;0;0;0;0;0;0;0;0;0;1;1;0;0;[ICON_RES_ARTIFACTS];3;RESOURCE_ATLAS_EXP2
36;RESOURCE_NUTMEG;TXT_KEY_RESOURCE_NUTMEG;TXT_KEY_CIV5_RESOURCE_NUTMEG_TEXT;TXT_KEY_RESOURCE_NUTMEG_HELP;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_FUR;;;;;;;;;CIVILIZATION_INDONESIA;4;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;[ICON_RES_NUTMEG];2;RESOURCE_ATLAS_EXP2
37;RESOURCE_CLOVES;TXT_KEY_RESOURCE_CLOVES;TXT_KEY_CIV5_RESOURCE_CLOVES_TEXT;TXT_KEY_RESOURCE_CLOVES_HELP;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_FUR;;;;;;;;;CIVILIZATION_INDONESIA;4;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;[ICON_RES_CLOVES];1;RESOURCE_ATLAS_EXP2
38;RESOURCE_PEPPER;TXT_KEY_RESOURCE_PEPPER;TXT_KEY_CIV5_RESOURCE_PEPPER_TEXT;TXT_KEY_RESOURCE_PEPPER_HELP;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_FUR;;;;;;;;;CIVILIZATION_INDONESIA;4;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;[ICON_RES_PEPPER];0;RESOURCE_ATLAS_EXP2
39;RESOURCE_HIDDEN_ARTIFACTS;TXT_KEY_RESOURCE_HIDDEN_ARTIFACTS;TXT_KEY_CIV5_RESOURCE_ARTIFACTS_TEXT;TXT_KEY_RESOURCE_HIDDEN_ARTIFACTS_HELP;RESOURCECLASS_RUSH;ART_DEF_RESOURCE_HIDDEN_ARTIFACTS;;;;;POLICY_EXPLORATION_FINISHER;;;;;0;0;;0;0;0;0;100;3;0;90;0;0;0;0;100;0;0;0;0;0;0;0;0;0;1;1;0;0;[ICON_RES_HIDDEN_ARTIFACTS];4;RESOURCE_ATLAS_EXP2
40;RESOURCE_BISON;TXT_KEY_NEWWORLD_SCENARIO_RESOURCE_BISON;TXT_KEY_NEWWORLD_SCENARIO_CIV5_RESOURCE_BISON_TEXT;;RESOURCECLASS_BONUS;ART_DEF_RESOURCE_BISON;;;;;;TECH_TRAPPING;;;;0;0;;0;0;0;4;50;3;0;90;25;25;0;0;0;5;0;1;0;0;0;0;0;0;1;1;1;0;[ICON_RES_BISON];1;RESOURCE_ATLAS_DLC_07
41;RESOURCE_COCOA;TXT_KEY_NEWWORLD_SCENARIO_RESOURCE_COCOA;TXT_KEY_NEWWORLD_SCENARIO_CIV5_RESOURCE_COCOA_TEXT;;RESOURCECLASS_LUXURY;ART_DEF_RESOURCE_COCOA;;;;;;TECH_CALENDAR;;;;4;0;;0;0;0;3;50;3;0;90;25;25;0;0;67;0;0;0;3;10;2;0;0;0;1;0;0;0;[ICON_RES_COCOA];0;RESOURCE_ATLAS_DLC_07
