LeaderType;MinorCivApproachType;Bias
LEADER_KAMEHAMEHA;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_KAMEHAMEHA;MINOR_CIV_APPROACH_PROTECTIVE;5
LEADER_KAMEHAMEHA;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_HARALD;MINOR_CIV_APPROACH_IGNORE;6
LEADER_HARALD;MINOR_CIV_APPROACH_FRIENDLY;4
LEADER_HARALD;MINOR_CIV_APPROACH_PROTECTIVE;4
LEADER_HARALD;MINOR_CIV_APPROACH_CONQUEST;6
LEADER_SEJONG;MINOR_CIV_APPROACH_IGNORE;6
LEADER_SEJONG;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_SEJONG;MINOR_CIV_APPROACH_PROTECTIVE;4
LEADER_SEJONG;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_NEBUCHADNEZZAR;MINOR_CIV_APPROACH_IGNORE;3
LEADER_NEBUCHADNEZZAR;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_NEBUCHADNEZZAR;MINOR_CIV_APPROACH_PROTECTIVE;4
LEADER_NEBUCHADNEZZAR;MINOR_CIV_APPROACH_CONQUEST;6
LEADER_GENGHIS_KHAN;MINOR_CIV_APPROACH_BULLY;6
LEADER_GENGHIS_KHAN;MINOR_CIV_APPROACH_PROTECTIVE;3
LEADER_GENGHIS_KHAN;MINOR_CIV_APPROACH_CONQUEST;8
LEADER_HARALD;MINOR_CIV_APPROACH_BULLY;7
LEADER_ISABELLA;MINOR_CIV_APPROACH_IGNORE;6
LEADER_ISABELLA;MINOR_CIV_APPROACH_FRIENDLY;3
LEADER_ISABELLA;MINOR_CIV_APPROACH_PROTECTIVE;3
LEADER_ISABELLA;MINOR_CIV_APPROACH_CONQUEST;5
LEADER_ISABELLA;MINOR_CIV_APPROACH_BULLY;8
LEADER_KAMEHAMEHA;MINOR_CIV_APPROACH_BULLY;6
LEADER_PACHACUTI;MINOR_CIV_APPROACH_BULLY;5
LEADER_SEJONG;MINOR_CIV_APPROACH_BULLY;7
LEADER_NEBUCHADNEZZAR;MINOR_CIV_APPROACH_BULLY;7
LEADER_ATTILA;MINOR_CIV_APPROACH_IGNORE;5
LEADER_ATTILA;MINOR_CIV_APPROACH_FRIENDLY;4
LEADER_ATTILA;MINOR_CIV_APPROACH_PROTECTIVE;3
LEADER_ATTILA;MINOR_CIV_APPROACH_CONQUEST;7
LEADER_ATTILA;MINOR_CIV_APPROACH_BULLY;8
LEADER_BOUDICCA;MINOR_CIV_APPROACH_IGNORE;6
LEADER_BOUDICCA;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_BOUDICCA;MINOR_CIV_APPROACH_PROTECTIVE;4
LEADER_BOUDICCA;MINOR_CIV_APPROACH_CONQUEST;6
LEADER_BOUDICCA;MINOR_CIV_APPROACH_BULLY;7
LEADER_DIDO;MINOR_CIV_APPROACH_IGNORE;4
LEADER_DIDO;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_DIDO;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_DIDO;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_DIDO;MINOR_CIV_APPROACH_BULLY;6
LEADER_GUSTAVUS_ADOLPHUS;MINOR_CIV_APPROACH_IGNORE;4
LEADER_GUSTAVUS_ADOLPHUS;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_GUSTAVUS_ADOLPHUS;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_GUSTAVUS_ADOLPHUS;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_GUSTAVUS_ADOLPHUS;MINOR_CIV_APPROACH_BULLY;4
LEADER_MARIA;MINOR_CIV_APPROACH_IGNORE;3
LEADER_MARIA;MINOR_CIV_APPROACH_FRIENDLY;8
LEADER_MARIA;MINOR_CIV_APPROACH_PROTECTIVE;8
LEADER_MARIA;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_MARIA;MINOR_CIV_APPROACH_BULLY;3
LEADER_PACAL;MINOR_CIV_APPROACH_IGNORE;7
LEADER_PACAL;MINOR_CIV_APPROACH_FRIENDLY;4
LEADER_PACAL;MINOR_CIV_APPROACH_PROTECTIVE;5
LEADER_PACAL;MINOR_CIV_APPROACH_CONQUEST;5
LEADER_PACAL;MINOR_CIV_APPROACH_BULLY;6
LEADER_THEODORA;MINOR_CIV_APPROACH_IGNORE;3
LEADER_THEODORA;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_THEODORA;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_THEODORA;MINOR_CIV_APPROACH_CONQUEST;5
LEADER_THEODORA;MINOR_CIV_APPROACH_BULLY;5
LEADER_WILLIAM;MINOR_CIV_APPROACH_IGNORE;4
LEADER_WILLIAM;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_WILLIAM;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_WILLIAM;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_WILLIAM;MINOR_CIV_APPROACH_BULLY;4
LEADER_SELASSIE;MINOR_CIV_APPROACH_IGNORE;6
LEADER_SELASSIE;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_SELASSIE;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_SELASSIE;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_SELASSIE;MINOR_CIV_APPROACH_BULLY;5
LEADER_AHMAD_ALMANSUR;MINOR_CIV_APPROACH_IGNORE;4
LEADER_AHMAD_ALMANSUR;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_AHMAD_ALMANSUR;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_AHMAD_ALMANSUR;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_AHMAD_ALMANSUR;MINOR_CIV_APPROACH_BULLY;4
LEADER_ASHURBANIPAL;MINOR_CIV_APPROACH_IGNORE;4
LEADER_ASHURBANIPAL;MINOR_CIV_APPROACH_FRIENDLY;4
LEADER_ASHURBANIPAL;MINOR_CIV_APPROACH_PROTECTIVE;3
LEADER_ASHURBANIPAL;MINOR_CIV_APPROACH_CONQUEST;7
LEADER_ASHURBANIPAL;MINOR_CIV_APPROACH_BULLY;5
LEADER_CASIMIR;MINOR_CIV_APPROACH_IGNORE;3
LEADER_CASIMIR;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_CASIMIR;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_CASIMIR;MINOR_CIV_APPROACH_CONQUEST;5
LEADER_CASIMIR;MINOR_CIV_APPROACH_BULLY;6
LEADER_ENRICO_DANDOLO;MINOR_CIV_APPROACH_IGNORE;3
LEADER_ENRICO_DANDOLO;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_ENRICO_DANDOLO;MINOR_CIV_APPROACH_PROTECTIVE;5
LEADER_ENRICO_DANDOLO;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_ENRICO_DANDOLO;MINOR_CIV_APPROACH_BULLY;3
LEADER_GAJAH_MADA;MINOR_CIV_APPROACH_IGNORE;4
LEADER_GAJAH_MADA;MINOR_CIV_APPROACH_FRIENDLY;5
LEADER_GAJAH_MADA;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_GAJAH_MADA;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_GAJAH_MADA;MINOR_CIV_APPROACH_BULLY;6
LEADER_MARIA_I;MINOR_CIV_APPROACH_IGNORE;3
LEADER_MARIA_I;MINOR_CIV_APPROACH_FRIENDLY;8
LEADER_MARIA_I;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_MARIA_I;MINOR_CIV_APPROACH_CONQUEST;4
LEADER_MARIA_I;MINOR_CIV_APPROACH_BULLY;4
LEADER_PEDRO;MINOR_CIV_APPROACH_IGNORE;5
LEADER_PEDRO;MINOR_CIV_APPROACH_FRIENDLY;6
LEADER_PEDRO;MINOR_CIV_APPROACH_PROTECTIVE;6
LEADER_PEDRO;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_PEDRO;MINOR_CIV_APPROACH_BULLY;3
LEADER_POCATELLO;MINOR_CIV_APPROACH_IGNORE;4
LEADER_POCATELLO;MINOR_CIV_APPROACH_FRIENDLY;7
LEADER_POCATELLO;MINOR_CIV_APPROACH_PROTECTIVE;7
LEADER_POCATELLO;MINOR_CIV_APPROACH_CONQUEST;3
LEADER_POCATELLO;MINOR_CIV_APPROACH_BULLY;3
LEADER_SHAKA;MINOR_CIV_APPROACH_IGNORE;2
LEADER_SHAKA;MINOR_CIV_APPROACH_FRIENDLY;4
LEADER_SHAKA;MINOR_CIV_APPROACH_PROTECTIVE;3
LEADER_SHAKA;MINOR_CIV_APPROACH_CONQUEST;6
LEADER_SHAKA;MINOR_CIV_APPROACH_BULLY;8
