BuildingType;YieldType;Yield
BUILDING_PORCELAIN_TOWER;YIELD_CULTURE;1
BUILDING_HIMEJI_CASTLE;YIELD_CULTURE;1
BUILDING_SISTINE_CHAPEL;YIELD_CULTURE;1
BUILDING_KREMLIN;YIELD_CULTURE;1
BUILDING_FORBIDDEN_PALACE;YIELD_CULTURE;1
BUILDING_TAJ_MAHAL;YIELD_CULTURE;1
BUILDING_BIG_BEN;YIELD_CULTURE;1
BUILDING_LOUVRE;YIELD_CULTURE;2
BUILDING_BRANDENBURG_GATE;YIELD_CULTURE;1
BUILDING_STATUE_OF_LIBERTY;YIELD_CULTURE;1
BUILDING_EIFFEL_TOWER;YIELD_CULTURE;1
BUILDING_PENTAGON;YIELD_CULTURE;1
BUILDING_MONASTERY;YIELD_CULTURE;2
BUILDING_MONASTERY;YIELD_FAITH;2
BUILDING_MUD_PYRAMID_MOSQUE;YIELD_FAITH;2
BUILDING_MUD_PYRAMID_MOSQUE;YIELD_CULTURE;2
BUILDING_BURIAL_TOMB;YIELD_FAITH;2
BUILDING_TEMPLE;YIELD_FAITH;2
BUILDING_STONEHENGE;YIELD_FAITH;5
BUILDING_HAGIA_SOPHIA;YIELD_FAITH;3
BUILDING_MACHU_PICHU;YIELD_FAITH;2
BUILDING_NOTRE_DAME;YIELD_FAITH;4
BUILDING_CRISTO_REDENTOR;YIELD_CULTURE;5
BUILDING_SPACESHIP_FACTORY;YIELD_PRODUCTION;3
BUILDING_TEMPLE_ARTEMIS;YIELD_CULTURE;1
BUILDING_MAUSOLEUM_HALICARNASSUS;YIELD_CULTURE;1
BUILDING_COFFEE_HOUSE;YIELD_PRODUCTION;2
BUILDING_MAYA_PYRAMID;YIELD_FAITH;2
BUILDING_MAYA_PYRAMID;YIELD_SCIENCE;2
BUILDING_STATUE_ZEUS;YIELD_CULTURE;1
BUILDING_AMPHITHEATER;YIELD_CULTURE;1
BUILDING_SHRINE;YIELD_FAITH;1
BUILDING_CATHEDRAL;YIELD_CULTURE;1
BUILDING_CATHEDRAL;YIELD_FAITH;1
BUILDING_MOSQUE;YIELD_CULTURE;2
BUILDING_MOSQUE;YIELD_FAITH;3
BUILDING_PAGODA;YIELD_CULTURE;2
BUILDING_PAGODA;YIELD_FAITH;2
BUILDING_STELE;YIELD_CULTURE;2
BUILDING_STELE;YIELD_FAITH;2
BUILDING_CEILIDH_HALL;YIELD_CULTURE;1
BUILDING_ALHAMBRA;YIELD_CULTURE;1
BUILDING_LEANING_TOWER;YIELD_CULTURE;1
BUILDING_MOSQUE_OF_DJENNE;YIELD_CULTURE;1
BUILDING_MOSQUE_OF_DJENNE;YIELD_FAITH;3
BUILDING_NEUSCHWANSTEIN;YIELD_GOLD;6
BUILDING_NEUSCHWANSTEIN;YIELD_CULTURE;4
BUILDING_PETRA;YIELD_CULTURE;1
BUILDING_GRAND_TEMPLE;YIELD_FAITH;8
BUILDING_TERRACOTTA_ARMY;YIELD_CULTURE;1
BUILDING_CANDI;YIELD_FAITH;2
BUILDING_UFFIZI;YIELD_CULTURE;2
BUILDING_GLOBE_THEATER;YIELD_CULTURE;2
BUILDING_BROADWAY;YIELD_CULTURE;2
BUILDING_BOROBUDUR;YIELD_FAITH;5
BUILDING_PARTHENON;YIELD_CULTURE;4
BUILDING_RED_FORT;YIELD_CULTURE;1
BUILDING_HANSE;YIELD_GOLD;2
