TechType;FlavorType;Flavor
TECH_MASONRY;FLAVOR_CITY_DEFENSE;4
TECH_MASONRY;FLAVOR_HAPPINESS;2
TECH_MASONRY;FLAVOR_TILE_IMPROVEMENT;2
TECH_MASONRY;FLAVOR_WONDER;4
TECH_BRONZE_WORKING;FLAVOR_DEFENSE;8
TECH_BRONZE_WORKING;FLAVOR_MILITARY_TRAINING;5
TECH_OPTICS;FLAVOR_NAVAL;5
TECH_OPTICS;FLAVOR_NAVAL_GROWTH;5
TECH_OPTICS;FLAVOR_GROWTH;5
TECH_OPTICS;FLAVOR_SCIENCE;5
TECH_OPTICS;FLAVOR_EXPANSION;5
TECH_HORSEBACK_RIDING;FLAVOR_MOBILE;10
TECH_HORSEBACK_RIDING;FLAVOR_OFFENSE;5
TECH_HORSEBACK_RIDING;FLAVOR_PRODUCTION;3
TECH_MATHEMATICS;FLAVOR_RANGED;8
TECH_MATHEMATICS;FLAVOR_OFFENSE;4
TECH_MATHEMATICS;FLAVOR_WONDER;2
TECH_CONSTRUCTION;FLAVOR_HAPPINESS;20
TECH_CONSTRUCTION;FLAVOR_PRODUCTION;6
TECH_CONSTRUCTION;FLAVOR_RANGED;6
TECH_CONSTRUCTION;FLAVOR_DEFENSE;2
TECH_CONSTRUCTION;FLAVOR_WONDER;2
TECH_CONSTRUCTION;FLAVOR_TILE_IMPROVEMENT;5
TECH_PHILOSOPHY;FLAVOR_SCIENCE;3
TECH_PHILOSOPHY;FLAVOR_CULTURE;6
TECH_PHILOSOPHY;FLAVOR_RELIGION;2
TECH_PHILOSOPHY;FLAVOR_WONDER;2
TECH_DRAMA;FLAVOR_CULTURE;6
TECH_DRAMA;FLAVOR_GREAT_PEOPLE;3
TECH_CURRENCY;FLAVOR_GOLD;20
TECH_CURRENCY;FLAVOR_WONDER;2
TECH_IRON_WORKING;FLAVOR_OFFENSE;12
TECH_IRON_WORKING;FLAVOR_DEFENSE;6
TECH_IRON_WORKING;FLAVOR_MILITARY_TRAINING;3
TECH_THEOLOGY;FLAVOR_RELIGION;6
TECH_THEOLOGY;FLAVOR_GREAT_PEOPLE;3
TECH_THEOLOGY;FLAVOR_WONDER;4
TECH_CIVIL_SERVICE;FLAVOR_DEFENSE;10
TECH_CIVIL_SERVICE;FLAVOR_GROWTH;20
TECH_CIVIL_SERVICE;FLAVOR_SCIENCE;10
TECH_CIVIL_SERVICE;FLAVOR_WONDER;2
TECH_GUILDS;FLAVOR_GOLD;20
TECH_GUILDS;FLAVOR_WONDER;2
TECH_ENGINEERING;FLAVOR_DEFENSE;2
TECH_ENGINEERING;FLAVOR_GROWTH;10
TECH_ENGINEERING;FLAVOR_INFRASTRUCTURE;2
TECH_METAL_CASTING;FLAVOR_PRODUCTION;25
TECH_METAL_CASTING;FLAVOR_WONDER;3
TECH_METAL_CASTING;FLAVOR_OFFENSE;3
TECH_METAL_CASTING;FLAVOR_DEFENSE;3
TECH_METAL_CASTING;FLAVOR_MILITARY_TRAINING;3
TECH_COMPASS;FLAVOR_GOLD;6
TECH_COMPASS;FLAVOR_PRODUCTION;3
TECH_COMPASS;FLAVOR_NAVAL;10
TECH_COMPASS;FLAVOR_WATER_CONNECTION;10
TECH_EDUCATION;FLAVOR_SCIENCE;12
TECH_EDUCATION;FLAVOR_WONDER;4
TECH_EDUCATION;FLAVOR_DIPLOMACY;4
TECH_CHIVALRY;FLAVOR_OFFENSE;3
TECH_CHIVALRY;FLAVOR_MOBILE;8
TECH_CHIVALRY;FLAVOR_CITY_DEFENSE;3
TECH_CHIVALRY;FLAVOR_WONDER;2
TECH_CHIVALRY;FLAVOR_DIPLOMACY;2
TECH_MACHINERY;FLAVOR_RANGED;8
TECH_MACHINERY;FLAVOR_INFRASTRUCTURE;4
TECH_MACHINERY;FLAVOR_PRODUCTION;2
TECH_MACHINERY;FLAVOR_DEFENSE;3
TECH_PHYSICS;FLAVOR_RANGED;10
TECH_PHYSICS;FLAVOR_OFFENSE;5
TECH_PHYSICS;FLAVOR_WONDER;2
TECH_STEEL;FLAVOR_OFFENSE;20
TECH_STEEL;FLAVOR_MILITARY_TRAINING;5
TECH_ASTRONOMY;FLAVOR_NAVAL_RECON;15
TECH_ASTRONOMY;FLAVOR_RECON;5
TECH_ASTRONOMY;FLAVOR_NAVAL;5
TECH_ASTRONOMY;FLAVOR_SCIENCE;5
TECH_ASTRONOMY;FLAVOR_EXPANSION;10
TECH_ACOUSTICS;FLAVOR_CULTURE;8
TECH_ACOUSTICS;FLAVOR_WONDER;4
TECH_BANKING;FLAVOR_GOLD;20
TECH_BANKING;FLAVOR_EXPANSION;5
TECH_BANKING;FLAVOR_HAPPINESS;5
TECH_BANKING;FLAVOR_WONDER;10
TECH_PRINTING_PRESS;FLAVOR_HAPPINESS;12
TECH_PRINTING_PRESS;FLAVOR_WONDER;4
TECH_PRINTING_PRESS;FLAVOR_GREAT_PEOPLE;2
TECH_GUNPOWDER;FLAVOR_DEFENSE;12
TECH_GUNPOWDER;FLAVOR_OFFENSE;6
TECH_GUNPOWDER;FLAVOR_WONDER;2
TECH_NAVIGATION;FLAVOR_NAVAL;14
TECH_NAVIGATION;FLAVOR_PRODUCTION;4
TECH_ARCHITECTURE;FLAVOR_WONDER;12
TECH_ARCHITECTURE;FLAVOR_SCIENCE;12
TECH_ECONOMICS;FLAVOR_GOLD;12
TECH_ECONOMICS;FLAVOR_PRODUCTION;8
TECH_CHEMISTRY;FLAVOR_RANGED;10
TECH_CHEMISTRY;FLAVOR_OFFENSE;6
TECH_CHEMISTRY;FLAVOR_DEFENSE;3
TECH_CHEMISTRY;FLAVOR_PRODUCTION;10
TECH_METALLURGY;FLAVOR_OFFENSE;4
TECH_METALLURGY;FLAVOR_MOBILE;8
TECH_METALLURGY;FLAVOR_DEFENSE;4
TECH_METALLURGY;FLAVOR_CITY_DEFENSE;3
TECH_ARCHAEOLOGY;FLAVOR_CULTURE;25
TECH_ARCHAEOLOGY;FLAVOR_WONDER;2
TECH_SCIENTIFIC_THEORY;FLAVOR_SCIENCE;20
TECH_INDUSTRIALIZATION;FLAVOR_PRODUCTION;20
TECH_INDUSTRIALIZATION;FLAVOR_WONDER;2
TECH_MILITARY_SCIENCE;FLAVOR_OFFENSE;4
TECH_MILITARY_SCIENCE;FLAVOR_MOBILE;10
TECH_MILITARY_SCIENCE;FLAVOR_MILITARY_TRAINING;5
TECH_MILITARY_SCIENCE;FLAVOR_WONDER;1
TECH_FERTILIZER;FLAVOR_GROWTH;20
TECH_FERTILIZER;FLAVOR_SCIENCE;15
TECH_FERTILIZER;FLAVOR_GOLD;8
TECH_FERTILIZER;FLAVOR_GREAT_PEOPLE;5
TECH_RIFLING;FLAVOR_DEFENSE;10
TECH_RIFLING;FLAVOR_OFFENSE;10
TECH_RIFLING;FLAVOR_CITY_DEFENSE;5
TECH_BIOLOGY;FLAVOR_GROWTH;10
TECH_BIOLOGY;FLAVOR_TILE_IMPROVEMENT;10
TECH_BIOLOGY;FLAVOR_OFFENSE;25
TECH_BIOLOGY;FLAVOR_DEFENSE;10
TECH_BIOLOGY;FLAVOR_NAVAL;12
TECH_BIOLOGY;FLAVOR_AIR;25
TECH_BIOLOGY;FLAVOR_MOBILE;10
TECH_STEAM_POWER;FLAVOR_NAVAL;15
TECH_ELECTRICITY;FLAVOR_GOLD;10
TECH_ELECTRICITY;FLAVOR_OFFENSE;5
TECH_REPLACEABLE_PARTS;FLAVOR_DEFENSE;15
TECH_REPLACEABLE_PARTS;FLAVOR_WONDER;2
TECH_RAILROAD;FLAVOR_INFRASTRUCTURE;10
TECH_RAILROAD;FLAVOR_PRODUCTION;10
TECH_RAILROAD;FLAVOR_WONDER;2
TECH_DYNAMITE;FLAVOR_RANGED;12
TECH_DYNAMITE;FLAVOR_OFFENSE;10
TECH_DYNAMITE;FLAVOR_DEFENSE;8
TECH_REFRIGERATION;FLAVOR_NAVAL;10
TECH_REFRIGERATION;FLAVOR_NAVAL_TILE_IMPROVEMENT;4
TECH_REFRIGERATION;FLAVOR_PRODUCTION;5
TECH_REFRIGERATION;FLAVOR_OFFENSE;10
TECH_REFRIGERATION;FLAVOR_AIR;5
TECH_RADIO;FLAVOR_AIR;2
TECH_RADIO;FLAVOR_CULTURE;15
TECH_RADIO;FLAVOR_WONDER;4
TECH_FLIGHT;FLAVOR_AIR;15
TECH_FLIGHT;FLAVOR_ANTIAIR;5
TECH_BALLISTICS;FLAVOR_OFFENSE;10
TECH_BALLISTICS;FLAVOR_ANTIAIR;5
TECH_BALLISTICS;FLAVOR_DEFENSE;10
TECH_COMBUSTION;FLAVOR_OFFENSE;15
TECH_COMBUSTION;FLAVOR_MOBILE;5
TECH_COMBUSTION;FLAVOR_NAVAL;5
TECH_PLASTIC;FLAVOR_PRODUCTION;5
TECH_PLASTIC;FLAVOR_DEFENSE;10
TECH_PLASTIC;FLAVOR_SCIENCE;5
TECH_PLASTIC;FLAVOR_SPACESHIP;5
TECH_PENICILIN;FLAVOR_GROWTH;10
TECH_PENICILIN;FLAVOR_SCIENCE;2
TECH_PENICILIN;FLAVOR_GOLD;2
TECH_ELECTRONICS;FLAVOR_NAVAL;10
TECH_ELECTRONICS;FLAVOR_OFFENSE;5
TECH_ELECTRONICS;FLAVOR_AIR_CARRIER;5
TECH_RADAR;FLAVOR_AIR;15
TECH_RADAR;FLAVOR_OFFENSE;5
TECH_RADAR;FLAVOR_ANTIAIR;5
TECH_COMBINED_ARMS;FLAVOR_OFFENSE;10
TECH_COMBINED_ARMS;FLAVOR_MOBILE;10
TECH_COMBINED_ARMS;FLAVOR_DEFENSE;5
TECH_ATOMIC_THEORY;FLAVOR_NUKE;25
TECH_ATOMIC_THEORY;FLAVOR_OFFENSE;10
TECH_ECOLOGY;FLAVOR_PRODUCTION;10
TECH_COMPUTERS;FLAVOR_AIR;5
TECH_COMPUTERS;FLAVOR_NAVAL;5
TECH_COMPUTERS;FLAVOR_NUKE;5
TECH_TELECOM;FLAVOR_WONDER;5
TECH_TELECOM;FLAVOR_DEFENSE;5
TECH_ROCKETRY;FLAVOR_RANGED;10
TECH_ROCKETRY;FLAVOR_AIR;5
TECH_ROCKETRY;FLAVOR_MOBILE;5
TECH_ROCKETRY;FLAVOR_SPACESHIP;30
TECH_LASERS;FLAVOR_OFFENSE;5
TECH_LASERS;FLAVOR_MOBILE;5
TECH_LASERS;FLAVOR_AIR;5
TECH_NUCLEAR_FISSION;FLAVOR_NUKE;30
TECH_NUCLEAR_FISSION;FLAVOR_OFFENSE;5
TECH_NUCLEAR_FISSION;FLAVOR_PRODUCTION;10
TECH_INTERNET;FLAVOR_CULTURE;50
TECH_GLOBALIZATION;FLAVOR_DIPLOMACY;50
TECH_ROBOTICS;FLAVOR_NAVAL;4
TECH_ROBOTICS;FLAVOR_SPACESHIP;25
TECH_SATELLITES;FLAVOR_SCIENCE;6
TECH_SATELLITES;FLAVOR_WONDER;2
TECH_SATELLITES;FLAVOR_SPACESHIP;10
TECH_STEALTH;FLAVOR_AIR;10
TECH_MOBILE_TACTICS;FLAVOR_MOBILE;10
TECH_MOBILE_TACTICS;FLAVOR_DEFENSE;10
TECH_ADVANCED_BALLISTICS;FLAVOR_NUKE;10
TECH_ADVANCED_BALLISTICS;FLAVOR_SPACESHIP;10
TECH_PARTICLE_PHYSICS;FLAVOR_SPACESHIP;20
TECH_NUCLEAR_FUSION;FLAVOR_OFFENSE;15
TECH_NUCLEAR_FUSION;FLAVOR_NUKE;5
TECH_NANOTECHNOLOGY;FLAVOR_SPACESHIP;20
TECH_FUTURE_TECH;FLAVOR_SCIENCE;10
