ID;Type;Description;Civilopedia;CivilopediaTag;Strategy;Playable;AIPlayable;ShortDescription;Adjective;DefaultPlayerColor;ArtDefineTag;ArtStyleType;ArtStyleSuffix;ArtStylePrefix;DerivativeCiv;PortraitIndex;IconAtlas;AlphaIconAtlas;MapImage;DawnOfManQuote;DawnOfManImage;DawnOfManAudio;PackageID;SoundtrackTag
10;CIVILIZATION_IROQUOIS;TXT_KEY_CIV_IROQUOIS_DESC;;TXT_KEY_CIV5_IROQUOIS;;1;1;TXT_KEY_CIV_IROQUOIS_SHORT_DESC;TXT_KEY_CIV_IROQUOIS_ADJECTIVE;PLAYERCOLOR_IROQUOIS;ART_DEF_CIVILIZATION_IROQUOIS;ARTSTYLE_SOUTH_AMERICA;_AMER;AMERICAN;;12;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapIroquoi512.dds;TXT_KEY_CIV5_DAWN_IROQUOIS_TEXT;DOM_Hiawatha.dds;AS2D_DOM_SPEECH_IROQUOIS;;
11;CIVILIZATION_JAPAN;TXT_KEY_CIV_JAPAN_DESC;;TXT_KEY_CIV5_JAPAN;;1;1;TXT_KEY_CIV_JAPAN_SHORT_DESC;TXT_KEY_CIV_JAPAN_ADJECTIVE;PLAYERCOLOR_JAPAN;ART_DEF_CIVILIZATION_JAPAN;ARTSTYLE_ASIAN;_ASIA;ASIAN;;13;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapJapan512.dds;TXT_KEY_CIV5_DAWN_JAPAN_TEXT;DOM_Oda.dds;AS2D_DOM_SPEECH_JAPAN;;
12;CIVILIZATION_OTTOMAN;TXT_KEY_CIV_OTTOMAN_DESC;;TXT_KEY_CIV5_OTTOMAN;;1;1;TXT_KEY_CIV_OTTOMAN_SHORT_DESC;TXT_KEY_CIV_OTTOMAN_ADJECTIVE;PLAYERCOLOR_OTTOMAN;ART_DEF_CIVILIZATION_OTTOMANS;ARTSTYLE_MIDDLE_EAST;_AFRI;AFRICAN;;15;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapOttoman512.dds;TXT_KEY_CIV5_DAWN_OTTOMANS_TEXT;DOM_Suleiman.dds;AS2D_DOM_SPEECH_OTTOMANS;;
13;CIVILIZATION_PERSIA;TXT_KEY_CIV_PERSIA_DESC;;TXT_KEY_CIV5_PERSIA;;1;1;TXT_KEY_CIV_PERSIA_SHORT_DESC;TXT_KEY_CIV_PERSIA_ADJECTIVE;PLAYERCOLOR_PERSIA;ART_DEF_CIVILIZATION_PERSIA;ARTSTYLE_MIDDLE_EAST;_AFRI;AFRICAN;;16;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapPersia512.dds;TXT_KEY_CIV5_DAWN_PERSIA_TEXT;DOM_Darius.dds;AS2D_DOM_SPEECH_PERSIA;;
14;CIVILIZATION_ROME;TXT_KEY_CIV_ROME_DESC;;TXT_KEY_CIV5_ROME;;1;1;TXT_KEY_CIV_ROME_SHORT_DESC;TXT_KEY_CIV_ROME_ADJECTIVE;PLAYERCOLOR_ROME;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_GRECO_ROMAN;_MED;MEDITERRANEAN;;17;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapRome512.dds;TXT_KEY_CIV5_DAWN_ROME_TEXT;DOM_Augustus.dds;AS2D_DOM_SPEECH_ROME;;
15;CIVILIZATION_RUSSIA;TXT_KEY_CIV_RUSSIA_DESC;;TXT_KEY_CIV5_RUSSIA;;1;1;TXT_KEY_CIV_RUSSIA_SHORT_DESC;TXT_KEY_CIV_RUSSIA_ADJECTIVE;PLAYERCOLOR_RUSSIA;ART_DEF_CIVILIZATION_RUSSIA;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;18;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapRussia512.dds;TXT_KEY_CIV5_DAWN_RUSSIA_TEXT;DOM_Catherine.dds;AS2D_DOM_SPEECH_RUSSIA;;
16;CIVILIZATION_SIAM;TXT_KEY_CIV_SIAM_DESC;;TXT_KEY_CIV5_SIAM;;1;1;TXT_KEY_CIV_SIAM_SHORT_DESC;TXT_KEY_CIV_SIAM_ADJECTIVE;PLAYERCOLOR_SIAM;ART_DEF_CIVILIZATION_SIAM;ARTSTYLE_ASIAN;_ASIA;ASIAN;;19;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapSiam512.dds;TXT_KEY_CIV5_DAWN_SIAM_TEXT;DOM_Ramkamhaeng.dds;AS2D_DOM_SPEECH_SIAM;;
17;CIVILIZATION_SONGHAI;TXT_KEY_CIV_SONGHAI_DESC;;TXT_KEY_CIV5_SONGHAI;;1;1;TXT_KEY_CIV_SONGHAI_SHORT_DESC;TXT_KEY_CIV_SONGHAI_ADJECTIVE;PLAYERCOLOR_SONGHAI;ART_DEF_CIVILIZATION_SONGHAI;ARTSTYLE_MIDDLE_EAST;_AFRI;AFRICAN;;20;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;MapSonghai512.dds;TXT_KEY_CIV5_DAWN_SONGHAI_TEXT;DOM_Askia.dds;AS2D_DOM_SPEECH_SONGIA;;
18;CIVILIZATION_MINOR;TXT_KEY_CIV_MINOR_DESC;;;;0;0;TXT_KEY_CIV_MINOR_SHORT_DESC;TXT_KEY_CIV_MINOR_ADJECTIVE;PLAYERCOLOR_MINOR_WHITE;ART_DEF_CIVILIZATION_MINOR;ARTSTYLE_BARBARIAN;;;;22;CIV_COLOR_ATLAS;CIV_ALPHA_ATLAS;;;;;;
19;CIVILIZATION_BARBARIAN;TXT_KEY_CIV_BARBARIAN_DESC;;;;0;0;TXT_KEY_CIV_BARBARIAN_SHORT_DESC;TXT_KEY_CIV_BARBARIAN_ADJECTIVE;PLAYERCOLOR_BARBARIAN;ART_DEF_CIVILIZATION_BARBARIAN;ARTSTYLE_BARBARIAN;;;;0;SHARED_CIV_COLOR_ATLAS;SHARED_CIV_ALPHA_ATLAS;;;;;;
20;CIVILIZATION_MONGOL;TXT_KEY_CIV_MONGOL_DESC;;TXT_KEY_CIV5_MONGOLIA;;1;1;TXT_KEY_CIV_MONGOL_SHORT_DESC;TXT_KEY_CIV_MONGOL_ADJECTIVE;PLAYERCOLOR_MONGOL;ART_DEF_CIVILIZATION_MONGOL;ARTSTYLE_ASIAN;_MED;ASIAN;;0;GENGHIS_CIV_COLOR_ATLAS;GENGHIS_CIV_ALPHA_ATLAS;MapMongolia360x410.dds;TXT_KEY_CIV5_DAWN_MONGOLIA_TEXT;DOM_Genghis.dds;AS2D_DOM_SPEECH_MONGOL;293C1EE3117644F6AC1F59663826DE74;
21;CIVILIZATION_INCA;TXT_KEY_CIV_INCA_DESC;;TXT_KEY_CIV5_INCA;;1;1;TXT_KEY_CIV_INCA_SHORT_DESC;TXT_KEY_CIV_INCA_ADJECTIVE;PLAYERCOLOR_INCA;ART_DEF_CIVILIZATION_INCA;ARTSTYLE_SOUTH_AMERICA;_AMER;AMERICAN;;0;PACHACUTI_CIV_COLOR_ATLAS;PACHACUTI_CIV_ALPHA_ATLAS;MapInca360x410.dds;TXT_KEY_CIV5_DAWN_INCA_TEXT;DOM_Pachacuti.dds;AS2D_DOM_SPEECH_INCA;B685D5DE7CCA4E7581B42F60754E6330;
22;CIVILIZATION_SPAIN;TXT_KEY_CIV_SPAIN_DESC;;TXT_KEY_CIV5_SPAIN;;1;1;TXT_KEY_CIV_SPAIN_SHORT_DESC;TXT_KEY_CIV_SPAIN_ADJECTIVE;PLAYERCOLOR_SPAIN;ART_DEF_CIVILIZATION_SPAIN;ARTSTYLE_EUROPEAN;_MED;EUROPEAN;;1;ISABELLA_CIV_COLOR_ATLAS;ISABELLA_CIV_ALPHA_ATLAS;MapSpain360x410.dds;TXT_KEY_CIV5_DAWN_SPAIN_TEXT;DOM_Isabella.dds;AS2D_DOM_SPEECH_SPAIN;B685D5DE7CCA4E7581B42F60754E6330;
23;CIVILIZATION_POLYNESIA;TXT_KEY_CIV_POLYNESIA_DESC;;TXT_KEY_CIV5_POLYNESIA;;1;1;TXT_KEY_CIV_POLYNESIA_SHORT_DESC;TXT_KEY_CIV_POLYNESIA_ADJECTIVE;PLAYERCOLOR_POLYNESIA;ART_DEF_CIVILIZATION_POLYNESIA;ARTSTYLE_POLYNESIAN;_MED;ASIAN;;0;KAMEHAMEHA_CIV_COLOR_ATLAS;KAMEHAMEHA_CIV_ALPHA_ATLAS;MapPOLYNESIA360x410.dds;TXT_KEY_CIV5_DAWN_POLYNESIA_TEXT;DOM_KAMEHAMEHA.dds;AS2D_DOM_SPEECH_POLYNESIA;ECF7C605BA114CAC8D80D71306AAC471;Aztec
24;CIVILIZATION_DENMARK;TXT_KEY_CIV_DENMARK_DESC;;TXT_KEY_CIV5_DENMARK;;1;1;TXT_KEY_CIV_DENMARK_SHORT_DESC;TXT_KEY_CIV_DENMARK_ADJECTIVE;PLAYERCOLOR_DENMARK;ART_DEF_CIVILIZATION_DENMARK;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;0;HARALD_CIV_COLOR_ATLAS;HARALD_CIV_ALPHA_ATLAS;MapDENMARK360x410.dds;TXT_KEY_CIV5_DAWN_DENMARK_TEXT;DOM_Harald.dds;AS2D_DOM_SPEECH_DENMARK;B3030D39C0D84BC791B17AD1CAF585AB;
25;CIVILIZATION_KOREA;TXT_KEY_CIV_KOREA_DESC;;TXT_KEY_CIV5_KOREA;;1;1;TXT_KEY_CIV_KOREA_SHORT_DESC;TXT_KEY_CIV_KOREA_ADJECTIVE;PLAYERCOLOR_KOREA;ART_DEF_CIVILIZATION_KOREA;ARTSTYLE_ASIAN;_ASIA;ASIAN;;0;SEJONG_CIV_COLOR_ATLAS;SEJONG_CIV_ALPHA_ATLAS;MapKorea360x410.dds;TXT_KEY_CIV5_DAWN_KOREA_TEXT;DOM_SEJONG.dds;AS2D_DOM_SPEECH_KOREA;112C22B2530842B6B734171CCAB3037B;
26;CIVILIZATION_BABYLON;TXT_KEY_CIV_BABYLON_DESC;;TXT_KEY_CIV5_BABYLON;;1;1;TXT_KEY_CIV_BABYLON_SHORT_DESC;TXT_KEY_CIV_BABYLON_ADJECTIVE;PLAYERCOLOR_BABYLON;ART_DEF_CIVILIZATION_BABYLON;ARTSTYLE_MIDDLE_EAST;_MED;MEDITERRANEAN;;0;NEB_CIV_COLOR_ATLAS;NEB_CIV_ALPHA_ATLAS;MapBabylon512.dds;TXT_KEY_CIV5_DAWN_BABYLON_TEXT;DOM_Nebuchadnezzar.dds;AS2D_DOM_SPEECH_BABYLON;7459BA32576444AE8E9501AD0E0EFD48;
27;CIVILIZATION_AUSTRIA;TXT_KEY_CIV_AUSTRIA_DESC;;TXT_KEY_CIV5_AUSTRIA;;1;1;TXT_KEY_CIV_AUSTRIA_SHORT_DESC;TXT_KEY_CIV_AUSTRIA_ADJECTIVE;PLAYERCOLOR_AUSTRIA;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;0;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapAustria512.dds;TXT_KEY_CIV5_DAWN_AUSTRIA_TEXT;DOM_Maria_Theresa.dds;AS2D_DOM_SPEECH_AUSTRIA;0E3751A1F8404E1B9706519BF484E59D;
28;CIVILIZATION_BYZANTIUM;TXT_KEY_CIV_BYZANTIUM_DESC;;TXT_KEY_CIV5_BYZANTIUM;;1;1;TXT_KEY_CIV_BYZANTIUM_SHORT_DESC;TXT_KEY_CIV_BYZANTIUM_ADJECTIVE;PLAYERCOLOR_BYZANTIUM;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_GRECO_ROMAN;_MED;MEDITERRANEAN;;1;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapByzantium512.dds;TXT_KEY_CIV5_DAWN_BYZANTIUM_TEXT;DOM_Theodora.dds;AS2D_DOM_SPEECH_BYZANTIUM;0E3751A1F8404E1B9706519BF484E59D;
29;CIVILIZATION_CARTHAGE;TXT_KEY_CIV_CARTHAGE_DESC;;TXT_KEY_CIV5_CARTHAGE;;1;1;TXT_KEY_CIV_CARTHAGE_SHORT_DESC;TXT_KEY_CIV_CARTHAGE_ADJECTIVE;PLAYERCOLOR_CARTHAGE;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_GRECO_ROMAN;_MED;MEDITERRANEAN;;2;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapCarthage512.dds;TXT_KEY_CIV5_DAWN_CARTHAGE_TEXT;DOM_Dido.dds;AS2D_DOM_SPEECH_CARTHAGE;0E3751A1F8404E1B9706519BF484E59D;
30;CIVILIZATION_CELTS;TXT_KEY_CIV_CELTS_DESC;;TXT_KEY_CIV5_CELTS;;1;1;TXT_KEY_CIV_CELTS_SHORT_DESC;TXT_KEY_CIV_CELTS_ADJECTIVE;PLAYERCOLOR_CELTS;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;3;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapCelts512.dds;TXT_KEY_CIV5_DAWN_CELTS_TEXT;DOM_Boudicca.dds;AS2D_DOM_SPEECH_CELTS;0E3751A1F8404E1B9706519BF484E59D;
31;CIVILIZATION_ETHIOPIA;TXT_KEY_CIV_ETHIOPIA_DESC;;TXT_KEY_CIV5_ETHIOPIA;;1;1;TXT_KEY_CIV_ETHIOPIA_SHORT_DESC;TXT_KEY_CIV_ETHIOPIA_ADJECTIVE;PLAYERCOLOR_ETHIOPIA;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_MIDDLE_EAST;_AFRI;AFRICAN;;4;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapEthiopia512.dds;TXT_KEY_CIV5_DAWN_ETHIOPIA_TEXT;DOM_Haile_Selassie.dds;AS2D_DOM_SPEECH_ETHIOPIA;0E3751A1F8404E1B9706519BF484E59D;
32;CIVILIZATION_HUNS;TXT_KEY_CIV_HUNS_DESC;;TXT_KEY_CIV5_HUNS;;1;1;TXT_KEY_CIV_HUNS_SHORT_DESC;TXT_KEY_CIV_HUNS_ADJECTIVE;PLAYERCOLOR_HUNS;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_ASIAN;_ASIA;ASIAN;;5;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapHuns512.dds;TXT_KEY_CIV5_DAWN_HUNS_TEXT;DOM_Attila.dds;AS2D_DOM_SPEECH_HUNS;0E3751A1F8404E1B9706519BF484E59D;
33;CIVILIZATION_MAYA;TXT_KEY_CIV_MAYA_DESC;;TXT_KEY_CIV5_MAYA;;1;1;TXT_KEY_CIV_MAYA_SHORT_DESC;TXT_KEY_CIV_MAYA_ADJECTIVE;PLAYERCOLOR_MAYA;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_SOUTH_AMERICA;_AMER;AMERICAN;;6;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapMaya512.dds;TXT_KEY_CIV5_DAWN_MAYA_TEXT;DOM_Pacal_the_Great.dds;AS2D_DOM_SPEECH_MAYA;0E3751A1F8404E1B9706519BF484E59D;
34;CIVILIZATION_NETHERLANDS;TXT_KEY_CIV_NETHERLANDS_DESC;;TXT_KEY_CIV5_NETHERLANDS;;1;1;TXT_KEY_CIV_NETHERLANDS_SHORT_DESC;TXT_KEY_CIV_NETHERLANDS_ADJECTIVE;PLAYERCOLOR_NETHERLANDS;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;7;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapNetherlands512.dds;TXT_KEY_CIV5_DAWN_NETHERLANDS_TEXT;DOM_William_of_Orange.dds;AS2D_DOM_SPEECH_NETHERLANDS;0E3751A1F8404E1B9706519BF484E59D;
35;CIVILIZATION_SWEDEN;TXT_KEY_CIV_SWEDEN_DESC;;TXT_KEY_CIV5_SWEDEN;;1;1;TXT_KEY_CIV_SWEDEN_SHORT_DESC;TXT_KEY_CIV_SWEDEN_ADJECTIVE;PLAYERCOLOR_SWEDEN;ART_DEF_CIVILIZATION_ROME;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;8;EXPANSION_CIV_COLOR_ATLAS;EXPANSION_CIV_ALPHA_ATLAS;MapSweden512.dds;TXT_KEY_CIV5_DAWN_SWEDEN_TEXT;DOM_Gustavus_Adolphus.dds;AS2D_DOM_SPEECH_SWEDEN;0E3751A1F8404E1B9706519BF484E59D;
36;CIVILIZATION_ASSYRIA;TXT_KEY_CIV_ASSYRIA_DESC;;TXT_KEY_CIV5_ASSYRIA;;1;1;TXT_KEY_CIV_ASSYRIA_SHORT_DESC;TXT_KEY_CIV_ASSYRIA_ADJECTIVE;PLAYERCOLOR_ASSYRIA;ART_DEF_CIVILIZATION_ASSYRIA;ARTSTYLE_MIDDLE_EAST;_MED;MEDITERRANEAN;;0;EXPANSION2_CIV_COLOR_ATLAS;EXPANSION2_CIV_ALPHA_ATLAS;MapAssyria360x410.dds;TXT_KEY_CIV5_DAWN_ASSYRIA_TEXT;DOM_Ashurbanipal.dds;AS2D_DOM_SPEECH_ASSYRIA;6DA0763641234018B6436575B4EC336B;
37;CIVILIZATION_BRAZIL;TXT_KEY_CIV_BRAZIL_DESC;;TXT_KEY_CIV5_BRAZIL;;1;1;TXT_KEY_CIV_BRAZIL_SHORT_DESC;TXT_KEY_CIV_BRAZIL_ADJECTIVE;PLAYERCOLOR_BRAZIL;ART_DEF_CIVILIZATION_BRAZIL;ARTSTYLE_SOUTH_AMERICA;_AMER;AMERICAN;;1;EXPANSION2_CIV_COLOR_ATLAS;EXPANSION2_CIV_ALPHA_ATLAS;MapBrazil360x410.dds;TXT_KEY_CIV5_DAWN_BRAZIL_TEXT;DOM_Pedro_II.dds;AS2D_DOM_SPEECH_BRAZIL;6DA0763641234018B6436575B4EC336B;
38;CIVILIZATION_INDONESIA;TXT_KEY_CIV_INDONESIA_DESC;;TXT_KEY_CIV5_INDONESIA;;1;1;TXT_KEY_CIV_INDONESIA_SHORT_DESC;TXT_KEY_CIV_INDONESIA_ADJECTIVE;PLAYERCOLOR_INDONESIA;ART_DEF_CIVILIZATION_INDONESIA;ARTSTYLE_ASIAN;_ASIA;ASIAN;;2;EXPANSION2_CIV_COLOR_ATLAS;EXPANSION2_CIV_ALPHA_ATLAS;MapIndonesia360x410.dds;TXT_KEY_CIV5_DAWN_INDONESIA_TEXT;DOM_Gajah_Mada.dds;AS2D_DOM_SPEECH_INDONESIA;6DA0763641234018B6436575B4EC336B;
39;CIVILIZATION_MOROCCO;TXT_KEY_CIV_MOROCCO_DESC;;TXT_KEY_CIV5_MOROCCO;;1;1;TXT_KEY_CIV_MOROCCO_SHORT_DESC;TXT_KEY_CIV_MOROCCO_ADJECTIVE;PLAYERCOLOR_MOROCCO;ART_DEF_CIVILIZATION_MOROCCO;ARTSTYLE_MIDDLE_EAST;_AFRI;AFRICAN;;3;EXPANSION2_CIV_COLOR_ATLAS;EXPANSION2_CIV_ALPHA_ATLAS;MapMorocco360x410.dds;TXT_KEY_CIV5_DAWN_MOROCCO_TEXT;DOM_Ahmed_AlMansur.dds;AS2D_DOM_SPEECH_MOROCCO;6DA0763641234018B6436575B4EC336B;
40;CIVILIZATION_POLAND;TXT_KEY_CIV_POLAND_DESC;;TXT_KEY_CIV5_POLAND;;1;1;TXT_KEY_CIV_POLAND_SHORT_DESC;TXT_KEY_CIV_POLAND_ADJECTIVE;PLAYERCOLOR_POLAND;ART_DEF_CIVILIZATION_POLAND;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;4;EXPANSION2_CIV_COLOR_ATLAS;EXPANSION2_CIV_ALPHA_ATLAS;MapPoland360x410.dds;TXT_KEY_CIV5_DAWN_POLAND_TEXT;DOM_Casimir.dds;AS2D_DOM_SPEECH_POLAND;6DA0763641234018B6436575B4EC336B;
41;CIVILIZATION_PORTUGAL;TXT_KEY_CIV_PORTUGAL_DESC;;TXT_KEY_CIV5_PORTUGAL;;1;1;TXT_KEY_CIV_PORTUGAL_SHORT_DESC;TXT_KEY_CIV_PORTUGAL_ADJECTIVE;PLAYERCOLOR_PORTUGAL;ART_DEF_CIVILIZATION_PORTUGAL;ARTSTYLE_EUROPEAN;_EURO;EUROPEAN;;5;EXPANSION2_CIV_COLOR_ATLAS;EXPANSION2_CIV_ALPHA_ATLAS;MapPortugal360x410.dds;TXT_KEY_CIV5_DAWN_PORTUGAL_TEXT;DOM_Maria_I.dds;AS2D_DOM_SPEECH_PORTUGAL;6DA0763641234018B6436575B4EC336B;
42;CIVILIZATION_SHOSHONE;TXT_KEY_CIV_SHOSHONE_DESC;;TXT_KEY_CIV5_SHOSHONE;;1;1;TXT_KEY_CIV_SHOSHONE_SHORT_DESC;TXT_KEY_CIV_SHOSHONE_ADJECTIVE;PLAYERCOLOR_SHOSHONE;ART_DEF_CIVILIZATION_SHOSHONE;ARTSTYLE_SOUTH_AMERICA;_AMER;AMERICAN;;6;EXPANSION2_CIV_COLOR_ATLAS;EXPANSION2_CIV_ALPHA_ATLAS;MapShoshone360x410.dds;TXT_KEY_CIV5_DAWN_SHOSHONE_TEXT;DOM_Pocatello.dds;AS2D_DOM_SPEECH_SHOSHONE;6DA0763641234018B6436575B4EC336B;
