LeaderType;FlavorType;Flavor
LEADER_ASKIA;FLAVOR_NAVAL_RECON;6
LEADER_ASKIA;FLAVOR_NAVAL_GROWTH;6
LEADER_ASKIA;FLAVOR_NAVAL_TILE_IMPROVEMENT;6
LEADER_ASKIA;FLAVOR_AIR;4
LEADER_ASKIA;FLAVOR_EXPANSION;5
LEADER_ASKIA;FLAVOR_GROWTH;6
LEADER_ASKIA;FLAVOR_TILE_IMPROVEMENT;5
LEADER_ASKIA;FLAVOR_INFRASTRUCTURE;5
LEADER_ASKIA;FLAVOR_PRODUCTION;5
LEADER_ASKIA;FLAVOR_GOLD;8
LEADER_ASKIA;FLAVOR_SCIENCE;4
LEADER_ASKIA;FLAVOR_CULTURE;6
LEADER_ASKIA;FLAVOR_HAPPINESS;4
LEADER_ASKIA;FLAVOR_GREAT_PEOPLE;6
LEADER_ASKIA;FLAVOR_WONDER;3
LEADER_ASKIA;FLAVOR_RELIGION;7
LEADER_ASKIA;FLAVOR_DIPLOMACY;5
LEADER_ASKIA;FLAVOR_SPACESHIP;8
LEADER_ASKIA;FLAVOR_WATER_CONNECTION;6
LEADER_ASKIA;FLAVOR_NUKE;5
LEADER_ASKIA;FLAVOR_USE_NUKE;5
LEADER_ASKIA;FLAVOR_ESPIONAGE;5
LEADER_ASKIA;FLAVOR_ANTIAIR;5
LEADER_ASKIA;FLAVOR_AIR_CARRIER;6
LEADER_AUGUSTUS;FLAVOR_OFFENSE;5
LEADER_AUGUSTUS;FLAVOR_DEFENSE;6
LEADER_AUGUSTUS;FLAVOR_CITY_DEFENSE;6
LEADER_AUGUSTUS;FLAVOR_MILITARY_TRAINING;7
LEADER_AUGUSTUS;FLAVOR_RECON;3
LEADER_AUGUSTUS;FLAVOR_RANGED;6
LEADER_AUGUSTUS;FLAVOR_MOBILE;4
LEADER_AUGUSTUS;FLAVOR_NAVAL;5
LEADER_AUGUSTUS;FLAVOR_NAVAL_RECON;5
LEADER_AUGUSTUS;FLAVOR_NAVAL_GROWTH;4
LEADER_AUGUSTUS;FLAVOR_NAVAL_TILE_IMPROVEMENT;4
LEADER_AUGUSTUS;FLAVOR_AIR;4
LEADER_AUGUSTUS;FLAVOR_EXPANSION;8
LEADER_AUGUSTUS;FLAVOR_GROWTH;5
LEADER_AUGUSTUS;FLAVOR_TILE_IMPROVEMENT;7
LEADER_AUGUSTUS;FLAVOR_INFRASTRUCTURE;8
LEADER_AUGUSTUS;FLAVOR_PRODUCTION;6
LEADER_AUGUSTUS;FLAVOR_GOLD;6
LEADER_AUGUSTUS;FLAVOR_SCIENCE;5
LEADER_AUGUSTUS;FLAVOR_CULTURE;5
LEADER_AUGUSTUS;FLAVOR_HAPPINESS;8
LEADER_AUGUSTUS;FLAVOR_GREAT_PEOPLE;5
LEADER_AUGUSTUS;FLAVOR_WONDER;6
LEADER_AUGUSTUS;FLAVOR_RELIGION;4
LEADER_AUGUSTUS;FLAVOR_DIPLOMACY;5
LEADER_AUGUSTUS;FLAVOR_SPACESHIP;8
LEADER_AUGUSTUS;FLAVOR_WATER_CONNECTION;5
LEADER_AUGUSTUS;FLAVOR_NUKE;6
LEADER_AUGUSTUS;FLAVOR_USE_NUKE;5
LEADER_AUGUSTUS;FLAVOR_ESPIONAGE;5
LEADER_AUGUSTUS;FLAVOR_ANTIAIR;5
LEADER_AUGUSTUS;FLAVOR_AIR_CARRIER;5
LEADER_BARBARIAN;FLAVOR_OFFENSE;5
LEADER_BARBARIAN;FLAVOR_DEFENSE;10
LEADER_BARBARIAN;FLAVOR_CITY_DEFENSE;10
LEADER_BARBARIAN;FLAVOR_MILITARY_TRAINING;5
LEADER_BARBARIAN;FLAVOR_RECON;2
LEADER_BARBARIAN;FLAVOR_RANGED;5
LEADER_BARBARIAN;FLAVOR_MOBILE;5
LEADER_BARBARIAN;FLAVOR_NAVAL;5
LEADER_BARBARIAN;FLAVOR_NAVAL_RECON;5
LEADER_BARBARIAN;FLAVOR_NAVAL_GROWTH;5
LEADER_BARBARIAN;FLAVOR_NAVAL_TILE_IMPROVEMENT;5
LEADER_BARBARIAN;FLAVOR_AIR;5
LEADER_BARBARIAN;FLAVOR_EXPANSION;0
LEADER_BARBARIAN;FLAVOR_GROWTH;10
LEADER_BARBARIAN;FLAVOR_HAPPINESS;5
LEADER_BARBARIAN;FLAVOR_TILE_IMPROVEMENT;5
LEADER_BARBARIAN;FLAVOR_INFRASTRUCTURE;0
LEADER_BARBARIAN;FLAVOR_PRODUCTION;5
LEADER_BARBARIAN;FLAVOR_GOLD;5
LEADER_BARBARIAN;FLAVOR_SCIENCE;5
LEADER_BARBARIAN;FLAVOR_CULTURE;5
LEADER_BARBARIAN;FLAVOR_HAPPINESS;5
LEADER_BARBARIAN;FLAVOR_GREAT_PEOPLE;5
LEADER_BARBARIAN;FLAVOR_WONDER;0
LEADER_BARBARIAN;FLAVOR_RELIGION;0
LEADER_BARBARIAN;FLAVOR_DIPLOMACY;0
LEADER_BARBARIAN;FLAVOR_SPACESHIP;0
LEADER_BARBARIAN;FLAVOR_WATER_CONNECTION;0
LEADER_BARBARIAN;FLAVOR_NUKE;0
LEADER_BISMARCK;FLAVOR_OFFENSE;5
LEADER_BISMARCK;FLAVOR_DEFENSE;6
LEADER_BISMARCK;FLAVOR_CITY_DEFENSE;6
LEADER_BISMARCK;FLAVOR_MILITARY_TRAINING;8
LEADER_BISMARCK;FLAVOR_RECON;8
LEADER_BISMARCK;FLAVOR_RANGED;5
LEADER_BISMARCK;FLAVOR_MOBILE;7
LEADER_BISMARCK;FLAVOR_NAVAL;3
LEADER_BISMARCK;FLAVOR_NAVAL_RECON;3
LEADER_BISMARCK;FLAVOR_NAVAL_GROWTH;4
LEADER_BISMARCK;FLAVOR_NAVAL_TILE_IMPROVEMENT;4
LEADER_BISMARCK;FLAVOR_AIR;6
LEADER_BISMARCK;FLAVOR_EXPANSION;7
LEADER_BISMARCK;FLAVOR_GROWTH;5
LEADER_BISMARCK;FLAVOR_TILE_IMPROVEMENT;6
LEADER_BISMARCK;FLAVOR_INFRASTRUCTURE;5
LEADER_BISMARCK;FLAVOR_PRODUCTION;8
LEADER_BISMARCK;FLAVOR_GOLD;5
LEADER_BISMARCK;FLAVOR_SCIENCE;7
LEADER_BISMARCK;FLAVOR_CULTURE;5
LEADER_BISMARCK;FLAVOR_HAPPINESS;5
LEADER_BISMARCK;FLAVOR_GREAT_PEOPLE;5
LEADER_BISMARCK;FLAVOR_WONDER;4
LEADER_BISMARCK;FLAVOR_RELIGION;3
LEADER_BISMARCK;FLAVOR_DIPLOMACY;5
LEADER_BISMARCK;FLAVOR_SPACESHIP;8
LEADER_BISMARCK;FLAVOR_WATER_CONNECTION;4
LEADER_BISMARCK;FLAVOR_NUKE;7
LEADER_BISMARCK;FLAVOR_USE_NUKE;5
LEADER_BISMARCK;FLAVOR_ESPIONAGE;5
LEADER_BISMARCK;FLAVOR_ANTIAIR;5
LEADER_BISMARCK;FLAVOR_AIR_CARRIER;5
LEADER_CATHERINE;FLAVOR_OFFENSE;6
LEADER_CATHERINE;FLAVOR_DEFENSE;6
LEADER_CATHERINE;FLAVOR_CITY_DEFENSE;6
LEADER_CATHERINE;FLAVOR_MILITARY_TRAINING;5
LEADER_CATHERINE;FLAVOR_RECON;5
LEADER_CATHERINE;FLAVOR_RANGED;5
LEADER_CATHERINE;FLAVOR_MOBILE;6
LEADER_CATHERINE;FLAVOR_NAVAL;3
LEADER_CATHERINE;FLAVOR_NAVAL_RECON;3
LEADER_CATHERINE;FLAVOR_NAVAL_GROWTH;3
LEADER_CATHERINE;FLAVOR_NAVAL_TILE_IMPROVEMENT;3
LEADER_CATHERINE;FLAVOR_AIR;3
LEADER_CATHERINE;FLAVOR_EXPANSION;8
LEADER_CATHERINE;FLAVOR_GROWTH;3
LEADER_CATHERINE;FLAVOR_TILE_IMPROVEMENT;5
LEADER_CATHERINE;FLAVOR_INFRASTRUCTURE;5
LEADER_CATHERINE;FLAVOR_PRODUCTION;6
LEADER_CATHERINE;FLAVOR_GOLD;5
LEADER_CATHERINE;FLAVOR_SCIENCE;8
LEADER_CATHERINE;FLAVOR_CULTURE;6
LEADER_CATHERINE;FLAVOR_HAPPINESS;3
LEADER_CATHERINE;FLAVOR_GREAT_PEOPLE;6
LEADER_CATHERINE;FLAVOR_WONDER;5
LEADER_CATHERINE;FLAVOR_RELIGION;6
LEADER_CATHERINE;FLAVOR_DIPLOMACY;5
LEADER_CATHERINE;FLAVOR_SPACESHIP;9
LEADER_CATHERINE;FLAVOR_WATER_CONNECTION;3
LEADER_CATHERINE;FLAVOR_NUKE;8
LEADER_CATHERINE;FLAVOR_USE_NUKE;8
LEADER_CATHERINE;FLAVOR_ESPIONAGE;8
LEADER_CATHERINE;FLAVOR_ANTIAIR;5
LEADER_CATHERINE;FLAVOR_AIR_CARRIER;5
LEADER_DARIUS;FLAVOR_OFFENSE;3
LEADER_DARIUS;FLAVOR_DEFENSE;7
LEADER_DARIUS;FLAVOR_CITY_DEFENSE;6
LEADER_DARIUS;FLAVOR_MILITARY_TRAINING;4
LEADER_DARIUS;FLAVOR_RECON;5
LEADER_DARIUS;FLAVOR_RANGED;5
LEADER_DARIUS;FLAVOR_MOBILE;5
LEADER_DARIUS;FLAVOR_NAVAL;4
LEADER_DARIUS;FLAVOR_NAVAL_RECON;4
LEADER_DARIUS;FLAVOR_NAVAL_GROWTH;5
LEADER_DARIUS;FLAVOR_NAVAL_TILE_IMPROVEMENT;5
LEADER_DARIUS;FLAVOR_AIR;5
LEADER_DARIUS;FLAVOR_EXPANSION;5
LEADER_DARIUS;FLAVOR_GROWTH;6
LEADER_DARIUS;FLAVOR_TILE_IMPROVEMENT;7
LEADER_DARIUS;FLAVOR_INFRASTRUCTURE;7
LEADER_DARIUS;FLAVOR_PRODUCTION;6
LEADER_DARIUS;FLAVOR_GOLD;7
LEADER_DARIUS;FLAVOR_SCIENCE;5
LEADER_DARIUS;FLAVOR_CULTURE;5
LEADER_DARIUS;FLAVOR_HAPPINESS;8
LEADER_DARIUS;FLAVOR_GREAT_PEOPLE;5
LEADER_DARIUS;FLAVOR_WONDER;6
LEADER_DARIUS;FLAVOR_RELIGION;6
LEADER_DARIUS;FLAVOR_DIPLOMACY;5
LEADER_DARIUS;FLAVOR_SPACESHIP;7
LEADER_DARIUS;FLAVOR_WATER_CONNECTION;5
LEADER_DARIUS;FLAVOR_NUKE;4
LEADER_DARIUS;FLAVOR_USE_NUKE;5
LEADER_DARIUS;FLAVOR_ESPIONAGE;5
LEADER_DARIUS;FLAVOR_ANTIAIR;5
LEADER_DARIUS;FLAVOR_AIR_CARRIER;5
LEADER_ELIZABETH;FLAVOR_OFFENSE;3
LEADER_ELIZABETH;FLAVOR_DEFENSE;6
LEADER_ELIZABETH;FLAVOR_CITY_DEFENSE;6
LEADER_ELIZABETH;FLAVOR_MILITARY_TRAINING;5
LEADER_ELIZABETH;FLAVOR_RECON;6
LEADER_ELIZABETH;FLAVOR_RANGED;8
LEADER_ELIZABETH;FLAVOR_MOBILE;3
LEADER_ELIZABETH;FLAVOR_NAVAL;8
LEADER_ELIZABETH;FLAVOR_NAVAL_RECON;8
LEADER_ELIZABETH;FLAVOR_NAVAL_GROWTH;7
LEADER_ELIZABETH;FLAVOR_NAVAL_TILE_IMPROVEMENT;7
LEADER_ELIZABETH;FLAVOR_AIR;5
LEADER_ELIZABETH;FLAVOR_EXPANSION;6
LEADER_ELIZABETH;FLAVOR_GROWTH;4
LEADER_ELIZABETH;FLAVOR_TILE_IMPROVEMENT;6
LEADER_ELIZABETH;FLAVOR_INFRASTRUCTURE;5
LEADER_ELIZABETH;FLAVOR_PRODUCTION;6
LEADER_ELIZABETH;FLAVOR_GOLD;8
LEADER_ELIZABETH;FLAVOR_SCIENCE;6
LEADER_ELIZABETH;FLAVOR_CULTURE;6
LEADER_ELIZABETH;FLAVOR_HAPPINESS;5
LEADER_ELIZABETH;FLAVOR_GREAT_PEOPLE;6
LEADER_ELIZABETH;FLAVOR_WONDER;5
LEADER_ELIZABETH;FLAVOR_RELIGION;5
LEADER_ELIZABETH;FLAVOR_DIPLOMACY;6
LEADER_ELIZABETH;FLAVOR_SPACESHIP;6
LEADER_ELIZABETH;FLAVOR_WATER_CONNECTION;7
LEADER_ELIZABETH;FLAVOR_NUKE;4
LEADER_ELIZABETH;FLAVOR_USE_NUKE;5
LEADER_ELIZABETH;FLAVOR_ESPIONAGE;7
LEADER_ELIZABETH;FLAVOR_ANTIAIR;8
LEADER_ELIZABETH;FLAVOR_AIR_CARRIER;7
LEADER_GANDHI;FLAVOR_OFFENSE;4
LEADER_GANDHI;FLAVOR_DEFENSE;5
LEADER_GANDHI;FLAVOR_CITY_DEFENSE;7
LEADER_GANDHI;FLAVOR_MILITARY_TRAINING;3
LEADER_GANDHI;FLAVOR_RECON;4
LEADER_GANDHI;FLAVOR_RANGED;7
LEADER_GANDHI;FLAVOR_MOBILE;7
LEADER_GANDHI;FLAVOR_NAVAL;3
LEADER_GANDHI;FLAVOR_NAVAL_RECON;3
LEADER_GANDHI;FLAVOR_NAVAL_GROWTH;3
LEADER_GANDHI;FLAVOR_NAVAL_TILE_IMPROVEMENT;3
LEADER_GANDHI;FLAVOR_AIR;3
LEADER_GANDHI;FLAVOR_EXPANSION;3
LEADER_GANDHI;FLAVOR_GROWTH;10
LEADER_GANDHI;FLAVOR_TILE_IMPROVEMENT;5
LEADER_GANDHI;FLAVOR_INFRASTRUCTURE;5
LEADER_GANDHI;FLAVOR_PRODUCTION;5
LEADER_GANDHI;FLAVOR_GOLD;4
LEADER_GANDHI;FLAVOR_SCIENCE;6
LEADER_GANDHI;FLAVOR_CULTURE;8
LEADER_GANDHI;FLAVOR_HAPPINESS;8
LEADER_GANDHI;FLAVOR_GREAT_PEOPLE;6
LEADER_GANDHI;FLAVOR_WONDER;6
LEADER_GANDHI;FLAVOR_RELIGION;8
LEADER_GANDHI;FLAVOR_DIPLOMACY;6
LEADER_GANDHI;FLAVOR_SPACESHIP;7
LEADER_GANDHI;FLAVOR_WATER_CONNECTION;3
LEADER_GANDHI;FLAVOR_NUKE;12
LEADER_GANDHI;FLAVOR_USE_NUKE;12
LEADER_GANDHI;FLAVOR_ESPIONAGE;3
LEADER_GANDHI;FLAVOR_ANTIAIR;5
LEADER_GANDHI;FLAVOR_AIR_CARRIER;5
LEADER_HARUN_AL_RASHID;FLAVOR_OFFENSE;4
LEADER_HARUN_AL_RASHID;FLAVOR_DEFENSE;6
LEADER_HARUN_AL_RASHID;FLAVOR_CITY_DEFENSE;6
LEADER_HARUN_AL_RASHID;FLAVOR_MILITARY_TRAINING;5
LEADER_HARUN_AL_RASHID;FLAVOR_RECON;5
LEADER_HARUN_AL_RASHID;FLAVOR_RANGED;7
LEADER_HARUN_AL_RASHID;FLAVOR_MOBILE;6
LEADER_HARUN_AL_RASHID;FLAVOR_NAVAL;4
LEADER_HARUN_AL_RASHID;FLAVOR_NAVAL_RECON;4
LEADER_HARUN_AL_RASHID;FLAVOR_NAVAL_GROWTH;4
LEADER_HARUN_AL_RASHID;FLAVOR_NAVAL_TILE_IMPROVEMENT;4
LEADER_HARUN_AL_RASHID;FLAVOR_AIR;3
LEADER_HARUN_AL_RASHID;FLAVOR_EXPANSION;5
LEADER_HARUN_AL_RASHID;FLAVOR_GROWTH;5
LEADER_HARUN_AL_RASHID;FLAVOR_TILE_IMPROVEMENT;6
LEADER_HARUN_AL_RASHID;FLAVOR_INFRASTRUCTURE;5
LEADER_HARUN_AL_RASHID;FLAVOR_PRODUCTION;5
LEADER_HARUN_AL_RASHID;FLAVOR_GOLD;8
LEADER_HARUN_AL_RASHID;FLAVOR_SCIENCE;7
LEADER_HARUN_AL_RASHID;FLAVOR_CULTURE;6
LEADER_HARUN_AL_RASHID;FLAVOR_HAPPINESS;7
LEADER_HARUN_AL_RASHID;FLAVOR_GREAT_PEOPLE;6
LEADER_HARUN_AL_RASHID;FLAVOR_WONDER;6
LEADER_HARUN_AL_RASHID;FLAVOR_RELIGION;8
LEADER_HARUN_AL_RASHID;FLAVOR_DIPLOMACY;6
LEADER_HARUN_AL_RASHID;FLAVOR_SPACESHIP;8
LEADER_HARUN_AL_RASHID;FLAVOR_WATER_CONNECTION;5
LEADER_HARUN_AL_RASHID;FLAVOR_NUKE;3
LEADER_HARUN_AL_RASHID;FLAVOR_NUKE;5
LEADER_HARUN_AL_RASHID;FLAVOR_ESPIONAGE;5
LEADER_HARUN_AL_RASHID;FLAVOR_ANTIAIR;5
LEADER_HARUN_AL_RASHID;FLAVOR_AIR_CARRIER;5
LEADER_HIAWATHA;FLAVOR_OFFENSE;3
LEADER_HIAWATHA;FLAVOR_DEFENSE;7
LEADER_HIAWATHA;FLAVOR_CITY_DEFENSE;7
LEADER_HIAWATHA;FLAVOR_MILITARY_TRAINING;4
LEADER_HIAWATHA;FLAVOR_RECON;6
LEADER_HIAWATHA;FLAVOR_RANGED;7
LEADER_HIAWATHA;FLAVOR_MOBILE;4
LEADER_HIAWATHA;FLAVOR_NAVAL;3
LEADER_HIAWATHA;FLAVOR_NAVAL_RECON;3
LEADER_HIAWATHA;FLAVOR_NAVAL_GROWTH;4
LEADER_HIAWATHA;FLAVOR_NAVAL_TILE_IMPROVEMENT;4
LEADER_HIAWATHA;FLAVOR_AIR;4
LEADER_HIAWATHA;FLAVOR_EXPANSION;9
LEADER_HIAWATHA;FLAVOR_GROWTH;3
LEADER_HIAWATHA;FLAVOR_TILE_IMPROVEMENT;4
LEADER_HIAWATHA;FLAVOR_INFRASTRUCTURE;4
LEADER_HIAWATHA;FLAVOR_PRODUCTION;5
LEADER_HIAWATHA;FLAVOR_GOLD;6
LEADER_HIAWATHA;FLAVOR_SCIENCE;4
LEADER_HIAWATHA;FLAVOR_CULTURE;5
LEADER_HIAWATHA;FLAVOR_HAPPINESS;7
LEADER_HIAWATHA;FLAVOR_GREAT_PEOPLE;6
LEADER_HIAWATHA;FLAVOR_WONDER;6
LEADER_HIAWATHA;FLAVOR_RELIGION;7
LEADER_HIAWATHA;FLAVOR_DIPLOMACY;6
LEADER_HIAWATHA;FLAVOR_SPACESHIP;8
LEADER_HIAWATHA;FLAVOR_WATER_CONNECTION;4
LEADER_HIAWATHA;FLAVOR_NUKE;3
LEADER_HIAWATHA;FLAVOR_USE_NUKE;5
LEADER_HIAWATHA;FLAVOR_ESPIONAGE;5
LEADER_HIAWATHA;FLAVOR_ANTIAIR;5
LEADER_HIAWATHA;FLAVOR_AIR_CARRIER;5
LEADER_MONTEZUMA;FLAVOR_OFFENSE;9
LEADER_MONTEZUMA;FLAVOR_DEFENSE;3
LEADER_MONTEZUMA;FLAVOR_CITY_DEFENSE;4
LEADER_MONTEZUMA;FLAVOR_MILITARY_TRAINING;4
LEADER_MONTEZUMA;FLAVOR_RECON;6
LEADER_MONTEZUMA;FLAVOR_RANGED;5
LEADER_MONTEZUMA;FLAVOR_MOBILE;5
LEADER_MONTEZUMA;FLAVOR_NAVAL;3
LEADER_MONTEZUMA;FLAVOR_NAVAL_RECON;3
LEADER_MONTEZUMA;FLAVOR_NAVAL_GROWTH;4
LEADER_MONTEZUMA;FLAVOR_NAVAL_TILE_IMPROVEMENT;4
LEADER_MONTEZUMA;FLAVOR_AIR;4
LEADER_MONTEZUMA;FLAVOR_EXPANSION;8
LEADER_MONTEZUMA;FLAVOR_GROWTH;5
LEADER_MONTEZUMA;FLAVOR_TILE_IMPROVEMENT;5
LEADER_MONTEZUMA;FLAVOR_INFRASTRUCTURE;5
LEADER_MONTEZUMA;FLAVOR_PRODUCTION;5
LEADER_MONTEZUMA;FLAVOR_GOLD;5
LEADER_MONTEZUMA;FLAVOR_SCIENCE;4
LEADER_MONTEZUMA;FLAVOR_CULTURE;6
LEADER_MONTEZUMA;FLAVOR_HAPPINESS;6
LEADER_MONTEZUMA;FLAVOR_GREAT_PEOPLE;5
LEADER_MONTEZUMA;FLAVOR_WONDER;6
LEADER_MONTEZUMA;FLAVOR_RELIGION;7
LEADER_MONTEZUMA;FLAVOR_DIPLOMACY;4
LEADER_MONTEZUMA;FLAVOR_SPACESHIP;7
LEADER_MONTEZUMA;FLAVOR_WATER_CONNECTION;4
LEADER_MONTEZUMA;FLAVOR_NUKE;8
LEADER_MONTEZUMA;FLAVOR_USE_NUKE;8
LEADER_MONTEZUMA;FLAVOR_ESPIONAGE;5
LEADER_MONTEZUMA;FLAVOR_ANTIAIR;5
LEADER_MONTEZUMA;FLAVOR_AIR_CARRIER;6
LEADER_NAPOLEON;FLAVOR_OFFENSE;6
LEADER_NAPOLEON;FLAVOR_DEFENSE;3
LEADER_NAPOLEON;FLAVOR_CITY_DEFENSE;5
LEADER_NAPOLEON;FLAVOR_MILITARY_TRAINING;6
LEADER_NAPOLEON;FLAVOR_RECON;5
LEADER_NAPOLEON;FLAVOR_RANGED;6
LEADER_NAPOLEON;FLAVOR_MOBILE;5
LEADER_NAPOLEON;FLAVOR_NAVAL;5
LEADER_NAPOLEON;FLAVOR_NAVAL_RECON;6
LEADER_NAPOLEON;FLAVOR_NAVAL_GROWTH;5
LEADER_NAPOLEON;FLAVOR_NAVAL_TILE_IMPROVEMENT;5
LEADER_NAPOLEON;FLAVOR_AIR;5
LEADER_NAPOLEON;FLAVOR_EXPANSION;8
LEADER_NAPOLEON;FLAVOR_GROWTH;5
LEADER_NAPOLEON;FLAVOR_TILE_IMPROVEMENT;6
LEADER_NAPOLEON;FLAVOR_INFRASTRUCTURE;5
LEADER_NAPOLEON;FLAVOR_PRODUCTION;5
LEADER_NAPOLEON;FLAVOR_GOLD;4
LEADER_NAPOLEON;FLAVOR_SCIENCE;7
LEADER_NAPOLEON;FLAVOR_CULTURE;8
LEADER_NAPOLEON;FLAVOR_HAPPINESS;4
LEADER_NAPOLEON;FLAVOR_GREAT_PEOPLE;5
LEADER_NAPOLEON;FLAVOR_WONDER;4
LEADER_NAPOLEON;FLAVOR_RELIGION;3
LEADER_NAPOLEON;FLAVOR_DIPLOMACY;4
LEADER_NAPOLEON;FLAVOR_SPACESHIP;6
LEADER_NAPOLEON;FLAVOR_WATER_CONNECTION;5
LEADER_NAPOLEON;FLAVOR_NUKE;6
LEADER_NAPOLEON;FLAVOR_USE_NUKE;5
LEADER_NAPOLEON;FLAVOR_ESPIONAGE;5
LEADER_NAPOLEON;FLAVOR_ANTIAIR;5
LEADER_NAPOLEON;FLAVOR_AIR_CARRIER;5
LEADER_ODA_NOBUNAGA;FLAVOR_OFFENSE;8
LEADER_ODA_NOBUNAGA;FLAVOR_DEFENSE;5
LEADER_ODA_NOBUNAGA;FLAVOR_CITY_DEFENSE;5
LEADER_ODA_NOBUNAGA;FLAVOR_MILITARY_TRAINING;8
LEADER_ODA_NOBUNAGA;FLAVOR_RECON;5
LEADER_ODA_NOBUNAGA;FLAVOR_RANGED;5
LEADER_ODA_NOBUNAGA;FLAVOR_MOBILE;4
LEADER_ODA_NOBUNAGA;FLAVOR_NAVAL;7
LEADER_ODA_NOBUNAGA;FLAVOR_NAVAL_RECON;5
LEADER_ODA_NOBUNAGA;FLAVOR_NAVAL_GROWTH;6
LEADER_ODA_NOBUNAGA;FLAVOR_NAVAL_TILE_IMPROVEMENT;6
LEADER_ODA_NOBUNAGA;FLAVOR_AIR;6
LEADER_ODA_NOBUNAGA;FLAVOR_EXPANSION;8
LEADER_ODA_NOBUNAGA;FLAVOR_GROWTH;5
LEADER_ODA_NOBUNAGA;FLAVOR_TILE_IMPROVEMENT;5
LEADER_ODA_NOBUNAGA;FLAVOR_INFRASTRUCTURE;5
LEADER_ODA_NOBUNAGA;FLAVOR_PRODUCTION;5
LEADER_ODA_NOBUNAGA;FLAVOR_GOLD;6
LEADER_ODA_NOBUNAGA;FLAVOR_SCIENCE;4
LEADER_ODA_NOBUNAGA;FLAVOR_CULTURE;6
LEADER_ODA_NOBUNAGA;FLAVOR_HAPPINESS;5
LEADER_ODA_NOBUNAGA;FLAVOR_GREAT_PEOPLE;6
LEADER_ODA_NOBUNAGA;FLAVOR_WONDER;5
LEADER_ODA_NOBUNAGA;FLAVOR_RELIGION;4
LEADER_ODA_NOBUNAGA;FLAVOR_DIPLOMACY;7
LEADER_ODA_NOBUNAGA;FLAVOR_SPACESHIP;7
LEADER_ODA_NOBUNAGA;FLAVOR_WATER_CONNECTION;6
LEADER_ODA_NOBUNAGA;FLAVOR_NUKE;6
LEADER_ODA_NOBUNAGA;FLAVOR_USE_NUKE;5
LEADER_ODA_NOBUNAGA;FLAVOR_ESPIONAGE;5
LEADER_ODA_NOBUNAGA;FLAVOR_ANTIAIR;6
LEADER_ODA_NOBUNAGA;FLAVOR_AIR_CARRIER;8
LEADER_RAMESSES;FLAVOR_OFFENSE;4
LEADER_RAMESSES;FLAVOR_DEFENSE;6
LEADER_RAMESSES;FLAVOR_CITY_DEFENSE;6
LEADER_RAMESSES;FLAVOR_MILITARY_TRAINING;3
LEADER_RAMESSES;FLAVOR_RECON;5
LEADER_RAMESSES;FLAVOR_RANGED;6
LEADER_RAMESSES;FLAVOR_MOBILE;6
LEADER_RAMESSES;FLAVOR_NAVAL;5
LEADER_RAMESSES;FLAVOR_NAVAL_RECON;3
LEADER_RAMESSES;FLAVOR_NAVAL_GROWTH;5
