ID;Type;Description;Civilopedia;CivilopediaTag;ArtDefineTag;VictoryCompetitiveness;WonderCompetitiveness;MinorCivCompetitiveness;Boldness;DiploBalance;WarmongerHate;WorkAgainstWillingness;WorkWithWillingness;DenounceWillingness;DoFWillingness;Loyalty;Neediness;Forgiveness;Chattiness;Meanness;PortraitIndex;IconAtlas;PackageID
10;LEADER_HIAWATHA;TXT_KEY_LEADER_HIAWATHA;TXT_KEY_LEADER_HIAWATHA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_HIAWATHA;Hiawatha_Scene.xml;3;4;3;2;4;6;0;0;4;6;7;7;6;3;3;12;LEADER_ATLAS;
11;LEADER_MONTEZUMA;TXT_KEY_LEADER_MONTEZUMA;TXT_KEY_LEADER_MONTEZUMA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_MONTEZUMA;Montezuma_Scene.xml;6;2;5;9;5;1;0;0;6;3;4;4;4;4;5;2;LEADER_ATLAS;
12;LEADER_NAPOLEON;TXT_KEY_LEADER_NAPOLEON;TXT_KEY_LEADER_NAPOLEON_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_NAPOLEON;Napoleon_Scene.xml;8;6;7;9;3;3;0;0;3;4;3;4;7;6;6;7;LEADER_ATLAS;
13;LEADER_ODA_NOBUNAGA;TXT_KEY_LEADER_ODA_NOBUNAGA;TXT_KEY_LEADER_ODA_NOBUNAGA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_ODA;OdaNobunaga_Scene.xml;7;5;6;8;7;6;0;0;7;6;3;6;5;3;4;13;LEADER_ATLAS;
14;LEADER_RAMESSES;TXT_KEY_LEADER_RAMESSES;TXT_KEY_LEADER_RAMESSES_II_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_RAMESSES;Ramesses_Scene.xml;4;9;5;5;5;6;0;0;4;6;4;5;3;4;6;5;LEADER_ATLAS;
15;LEADER_RAMKHAMHAENG;TXT_KEY_LEADER_RAMKHAMHAENG;TXT_KEY_LEADER_RAMKHAMHAENG_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_RAMKHAMHAENG;Ramkhamaeng_Scene.xml;3;4;4;5;7;8;0;0;5;6;6;7;6;6;3;19;LEADER_ATLAS;
16;LEADER_SULEIMAN;TXT_KEY_LEADER_SULEIMAN;TXT_KEY_LEADER_SULEIMAN_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_SULEIMAN;Sulieman_Scene.xml;5;5;6;8;6;4;0;0;7;5;5;3;5;6;3;15;LEADER_ATLAS;
17;LEADER_WASHINGTON;TXT_KEY_LEADER_WASHINGTON;TXT_KEY_LEADER_WASHINGTON_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_GEORGE;Washington_Scene.xml;4;3;5;7;6;7;0;0;4;6;6;7;7;5;4;0;LEADER_ATLAS;
18;LEADER_WU_ZETIAN;TXT_KEY_LEADER_WU_ZETIAN;TXT_KEY_LEADER_WU_ZETIAN_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_WUZETIAN;Wu_Scene.xml;3;5;7;7;6;5;0;0;7;4;3;6;4;6;7;4;LEADER_ATLAS;
19;LEADER_GENGHIS_KHAN;TXT_KEY_LEADER_GENGHIS_KHAN;TXT_KEY_LEADER_GENGHIS_KHAN_PEDIA;TXT_KEY_CIV5_GENGHIS;Genghis_Scene.xml;8;4;3;8;4;4;0;0;5;5;7;5;3;5;6;0;GENGHIS_LEADER_ATLAS;293C1EE3117644F6AC1F59663826DE74
20;LEADER_ISABELLA;TXT_KEY_LEADER_ISABELLA;TXT_KEY_LEADER_ISABELLA_PEDIA;TXT_KEY_CIV5_ISABELLA;Isabella_Scene.xml;6;4;4;5;3;6;0;0;6;7;5;7;6;5;4;1;ISABELLA_LEADER_ATLAS;B685D5DE7CCA4E7581B42F60754E6330
21;LEADER_PACHACUTI;TXT_KEY_LEADER_PACHACUTI;TXT_KEY_LEADER_PACHACUTI_PEDIA;TXT_KEY_CIV5_PACHACUTI;Inca_Pachacuti_Scene.xml;5;7;3;4;4;5;0;0;5;6;5;6;5;7;4;0;PACHACUTI_LEADER_ATLAS;B685D5DE7CCA4E7581B42F60754E6330
22;LEADER_KAMEHAMEHA;TXT_KEY_LEADER_KAMEHAMEHA;TXT_KEY_LEADER_KAMEHAMEHA_PEDIA;TXT_KEY_CIV5_KAMEHAMEHA;Polynesia_Kamehameha_Scene.xml;3;3;5;5;4;7;0;0;7;7;7;4;6;6;4;0;KAMEHAMEHA_LEADER_ATLAS;ECF7C605BA114CAC8D80D71306AAC471
23;LEADER_HARALD;TXT_KEY_LEADER_HARALD;TXT_KEY_LEADER_HARALD_PEDIA;TXT_KEY_CIV5_HARALD;Denmark_Bluetooth_Scene.xml;3;3;5;7;4;4;0;0;5;5;7;4;5;4;6;0;HARALD_LEADER_ATLAS;B3030D39C0D84BC791B17AD1CAF585AB
24;LEADER_SEJONG;TXT_KEY_LEADER_SEJONG;TXT_KEY_LEADER_SEJONG_PEDIA;TXT_KEY_CIV5_SEJONG;Korea_Sejong_Scene.xml;6;6;4;4;6;4;0;0;4;7;7;6;7;4;4;0;SEJONG_LEADER_ATLAS;112C22B2530842B6B734171CCAB3037B
25;LEADER_NEBUCHADNEZZAR;TXT_KEY_LEADER_NEBUCHADNEZZAR;TXT_KEY_LEADER_NEBUCHADNEZZAR_PEDIA;TXT_KEY_CIV5_NEBUCHADNEZZAR;NEBUCHADNEZZAR_Scene.xml;6;8;4;5;6;4;0;0;6;5;4;3;3;6;7;0;NEB_LEADER_ATLAS;7459BA32576444AE8E9501AD0E0EFD48
26;LEADER_ATTILA;TXT_KEY_LEADER_ATTILA;TXT_KEY_LEADER_ATTILA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_ATTILA;Huns_Attila_Scene.xml;7;3;3;8;4;3;0;0;6;3;4;3;4;5;8;8;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
27;LEADER_BOUDICCA;TXT_KEY_LEADER_BOUDICCA;TXT_KEY_LEADER_BOUDICCA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_BOUDICCA;Celts_Boudicca_Scene.xml;6;4;5;6;4;4;0;0;6;4;6;5;3;5;7;0;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
28;LEADER_DIDO;TXT_KEY_LEADER_DIDO;TXT_KEY_LEADER_DIDO_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_DIDO;Carthage_Dido.xml;7;4;5;6;5;4;0;0;5;6;6;5;5;7;4;1;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
29;LEADER_GUSTAVUS_ADOLPHUS;TXT_KEY_LEADER_GUSTAVUS_ADOLPHUS;TXT_KEY_LEADER_GUSTAVUS_ADOLPHUS_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_GUSTAVUS_ADOLPHUS;Sweden_Gustavus_Adolphus_Scene.xml;4;5;5;5;7;5;0;0;5;6;6;4;6;6;4;2;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
30;LEADER_MARIA;TXT_KEY_LEADER_MARIA;TXT_KEY_LEADER_MARIA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_MARIA;Austria_Maria_Theresa_Scene.xml;4;6;8;4;5;7;0;0;7;6;6;6;4;7;3;4;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
31;LEADER_PACAL;TXT_KEY_LEADER_PACAL;TXT_KEY_LEADER_PACAL_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_PACAL;Maya_Pacal_Scene.xml;5;7;4;3;6;6;0;0;4;6;6;5;5;3;5;5;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
32;LEADER_THEODORA;TXT_KEY_LEADER_THEODORA;TXT_KEY_LEADER_THEODORA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_THEODORA;Byzantium_Theodora_Scene.xml;5;7;6;4;6;6;0;0;5;7;4;4;7;8;5;6;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
33;LEADER_SELASSIE;TXT_KEY_LEADER_SELASSIE;TXT_KEY_LEADER_SELASSIE_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_SELASSIE;Ethiopia_Selassie_Scene.xml;3;5;4;4;6;8;0;0;5;6;6;7;6;4;4;3;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
34;LEADER_WILLIAM;TXT_KEY_LEADER_WILLIAM;TXT_KEY_LEADER_WILLIAM_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_WILLIAM;Netherlands_William_Scene.xml;5;4;6;4;6;6;0;0;5;7;7;5;6;4;5;7;EXPANSION_LEADER_ATLAS;0E3751A1F8404E1B9706519BF484E59D
35;LEADER_AHMAD_ALMANSUR;TXT_KEY_LEADER_AHMAD_ALMANSUR;TXT_KEY_LEADER_AHMAD_ALMANSUR_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_AHMAD_ALMANSUR;Morocco_Almansur_Scene.xml;5;4;5;4;5;5;0;0;5;6;6;6;5;6;5;3;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
36;LEADER_ASHURBANIPAL;TXT_KEY_LEADER_ASHURBANIPAL;TXT_KEY_LEADER_ASHURBANIPAL_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_ASHURBANIPAL;Assyria_Ashurbanipal_Scene.xml;5;5;3;6;5;4;0;0;6;5;5;4;4;3;5;0;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
37;LEADER_CASIMIR;TXT_KEY_LEADER_CASIMIR;TXT_KEY_LEADER_CASIMIR_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_CASIMIR;Poland_Casimir_Scene.xml;5;5;6;6;6;7;0;0;4;6;7;5;5;5;4;4;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
38;LEADER_ENRICO_DANDOLO;TXT_KEY_LEADER_ENRICO_DANDOLO;TXT_KEY_LEADER_ENRICO_DANDOLO_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_ENRICO_DANDOLO;Venice_Dandolo_Scene.xml;5;3;7;3;5;5;0;0;6;7;3;5;5;7;3;7;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
39;LEADER_GAJAH_MADA;TXT_KEY_LEADER_GAJAH_MADA;TXT_KEY_LEADER_GAJAH_MADA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_GAJAH_MADA;Indonesia_Gajah_Scene.xml;5;4;5;6;5;5;0;0;6;5;4;5;5;4;5;2;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
40;LEADER_MARIA_I;TXT_KEY_LEADER_MARIA_I;TXT_KEY_LEADER_MARIA_I_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_MARIA_I;Portugal_Maria_Scene.xml;5;5;6;4;5;5;0;0;7;7;5;6;5;7;6;5;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
41;LEADER_PEDRO;TXT_KEY_LEADER_PEDRO;TXT_KEY_LEADER_PEDRO_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_PEDRO;Brazil_Pedro_Scene.xml;6;6;5;4;5;6;0;0;6;7;7;6;5;5;4;1;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
42;LEADER_POCATELLO;TXT_KEY_LEADER_POCATELLO;TXT_KEY_LEADER_POCATELLO_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_POCATELLO;Shoshone_Pocatello_Scene.xml;5;5;5;5;5;5;0;0;5;5;5;5;5;5;5;6;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
43;LEADER_SHAKA;TXT_KEY_LEADER_SHAKA;TXT_KEY_LEADER_SHAKA_PEDIA;TXT_KEY_CIVILOPEDIA_LEADERS_SHAKA;Zulu_Shaka_Scene.xml;8;6;5;8;4;4;0;0;8;4;8;5;5;5;8;8;EXPANSION2_LEADER_ATLAS;6DA0763641234018B6436575B4EC336B
