ID;Type;Description;DefaultBuilding;MaxGlobalInstances;MaxTeamInstances;MaxPlayerInstances;ExtraPlayerInstances;NoLimit;Monument
28;BUILDINGCLASS_ARSENAL;TXT_KEY_BUILDING_ARSENAL;BUILDING_ARSENAL;-1;-1;-1;0;0;0
29;BUILDINGCLASS_WALLS;TXT_KEY_BUILDING_WALLS;BUILDING_WALLS;-1;-1;-1;0;0;0
30;BUILDINGCLASS_CASTLE;TXT_KEY_BUILDING_CASTLE;BUILDING_CASTLE;-1;-1;-1;0;0;0
31;BUILDINGCLASS_MILITARY_BASE;TXT_KEY_BUILDING_MILITARY_BASE;BUILDING_MILITARY_BASE;-1;-1;-1;0;0;0
32;BUILDINGCLASS_GRANARY;TXT_KEY_BUILDING_GRANARY;BUILDING_GRANARY;-1;-1;-1;0;0;0
33;BUILDINGCLASS_HOSPITAL;TXT_KEY_BUILDING_HOSPITAL;BUILDING_HOSPITAL;-1;-1;-1;0;0;0
34;BUILDINGCLASS_MEDICAL_LAB;TXT_KEY_BUILDING_MEDICAL_LAB;BUILDING_MEDICAL_LAB;-1;-1;-1;0;0;0
35;BUILDINGCLASS_WORKSHOP;TXT_KEY_BUILDING_WORKSHOP;BUILDING_WORKSHOP;-1;-1;-1;0;0;0
36;BUILDINGCLASS_FACTORY;TXT_KEY_BUILDING_FACTORY;BUILDING_FACTORY;-1;-1;-1;0;0;0
37;BUILDINGCLASS_NUCLEAR_PLANT;TXT_KEY_BUILDING_NUCLEAR_PLANT;BUILDING_NUCLEAR_PLANT;-1;-1;-1;0;0;0
38;BUILDINGCLASS_SPACESHIP_FACTORY;TXT_KEY_BUILDING_SPACESHIP_FACTORY;BUILDING_SPACESHIP_FACTORY;-1;-1;-1;0;0;0
39;BUILDINGCLASS_MARKET;TXT_KEY_BUILDING_MARKET;BUILDING_MARKET;-1;-1;-1;0;0;0
40;BUILDINGCLASS_BANK;TXT_KEY_BUILDING_BANK;BUILDING_BANK;-1;-1;-1;0;0;0
41;BUILDINGCLASS_STOCK_EXCHANGE;TXT_KEY_BUILDING_STOCK_EXCHANGE;BUILDING_STOCK_EXCHANGE;-1;-1;-1;0;0;0
42;BUILDINGCLASS_LIBRARY;TXT_KEY_BUILDING_LIBRARY;BUILDING_LIBRARY;-1;-1;-1;0;0;0
43;BUILDINGCLASS_UNIVERSITY;TXT_KEY_BUILDING_UNIVERSITY;BUILDING_UNIVERSITY;-1;-1;-1;0;0;0
44;BUILDINGCLASS_PUBLIC_SCHOOL;TXT_KEY_BUILDING_PUBLIC_SCHOOL;BUILDING_PUBLIC_SCHOOL;-1;-1;-1;0;0;0
45;BUILDINGCLASS_LABORATORY;TXT_KEY_BUILDING_LABORATORY;BUILDING_LABORATORY;-1;-1;-1;0;0;0
46;BUILDINGCLASS_PALACE;TXT_KEY_BUILDING_PALACE;BUILDING_PALACE;-1;-1;1;0;0;0
47;BUILDINGCLASS_HEROIC_EPIC;TXT_KEY_BUILDING_HEROIC_EPIC;BUILDING_HEROIC_EPIC;-1;-1;1;0;0;0
48;BUILDINGCLASS_NATIONAL_EPIC;TXT_KEY_BUILDING_NATIONAL_EPIC;BUILDING_NATIONAL_EPIC;-1;-1;1;0;0;0
49;BUILDINGCLASS_CIRCUS_MAXIMUS;TXT_KEY_BUILDING_CIRCUS_MAXIMUS;BUILDING_CIRCUS_MAXIMUS;-1;-1;1;0;0;0
50;BUILDINGCLASS_NATIONAL_TREASURY;TXT_KEY_BUILDING_NATIONAL_TREASURY;BUILDING_NATIONAL_TREASURY;-1;-1;1;0;0;0
51;BUILDINGCLASS_NATIONAL_COLLEGE;TXT_KEY_BUILDING_NATIONAL_COLLEGE;BUILDING_NATIONAL_COLLEGE;-1;-1;1;0;0;0
52;BUILDINGCLASS_IRONWORKS;TXT_KEY_BUILDING_IRONWORKS;BUILDING_IRONWORKS;-1;-1;1;0;0;0
53;BUILDINGCLASS_OXFORD_UNIVERSITY;TXT_KEY_BUILDING_OXFORD_UNIVERSITY;BUILDING_OXFORD_UNIVERSITY;-1;-1;1;0;0;0
54;BUILDINGCLASS_HERMITAGE;TXT_KEY_BUILDING_HERMITAGE;BUILDING_HERMITAGE;-1;-1;1;0;0;0
55;BUILDINGCLASS_PYRAMID;TXT_KEY_BUILDING_PYRAMID;BUILDING_PYRAMID;1;-1;-1;0;0;0
56;BUILDINGCLASS_GREAT_LIBRARY;TXT_KEY_BUILDING_GREAT_LIBRARY;BUILDING_GREAT_LIBRARY;1;-1;-1;0;0;0
57;BUILDINGCLASS_STONEHENGE;TXT_KEY_BUILDING_STONEHENGE;BUILDING_STONEHENGE;1;-1;-1;0;0;0
58;BUILDINGCLASS_HANGING_GARDEN;TXT_KEY_BUILDING_HANGING_GARDEN;BUILDING_HANGING_GARDEN;1;-1;-1;0;0;0
59;BUILDINGCLASS_COLOSSUS;TXT_KEY_BUILDING_COLOSSUS;BUILDING_COLOSSUS;1;-1;-1;0;0;0
60;BUILDINGCLASS_GREAT_LIGHTHOUSE;TXT_KEY_BUILDING_GREAT_LIGHTHOUSE;BUILDING_GREAT_LIGHTHOUSE;1;-1;-1;0;0;0
61;BUILDINGCLASS_ORACLE;TXT_KEY_BUILDING_ORACLE;BUILDING_ORACLE;1;-1;-1;0;0;0
62;BUILDINGCLASS_GREAT_WALL;TXT_KEY_BUILDING_GREAT_WALL;BUILDING_GREAT_WALL;1;-1;-1;0;0;0
63;BUILDINGCLASS_HAGIA_SOPHIA;TXT_KEY_BUILDING_HAGIA_SOPHIA;BUILDING_HAGIA_SOPHIA;1;-1;-1;0;0;0
64;BUILDINGCLASS_ANGKOR_WAT;TXT_KEY_BUILDING_ANGKOR_WAT;BUILDING_ANGKOR_WAT;1;-1;-1;0;0;0
65;BUILDINGCLASS_NOTRE_DAME;TXT_KEY_BUILDING_NOTRE_DAME;BUILDING_NOTRE_DAME;1;-1;-1;0;0;0
66;BUILDINGCLASS_MACHU_PICHU;TXT_KEY_BUILDING_MACHU_PICHU;BUILDING_MACHU_PICHU;1;-1;-1;0;0;0
67;BUILDINGCLASS_CHICHEN_ITZA;TXT_KEY_BUILDING_CHICHEN_ITZA;BUILDING_CHICHEN_ITZA;1;-1;-1;0;0;0
68;BUILDINGCLASS_KREMLIN;TXT_KEY_BUILDING_KREMLIN;BUILDING_KREMLIN;1;-1;-1;0;0;0
69;BUILDINGCLASS_FORBIDDEN_PALACE;TXT_KEY_BUILDING_FORBIDDEN_PALACE;BUILDING_FORBIDDEN_PALACE;1;-1;-1;0;0;0
70;BUILDINGCLASS_SISTINE_CHAPEL;TXT_KEY_BUILDING_SISTINE_CHAPEL;BUILDING_SISTINE_CHAPEL;1;-1;-1;0;0;0
71;BUILDINGCLASS_HIMEJI_CASTLE;TXT_KEY_BUILDING_HIMEJI_CASTLE;BUILDING_HIMEJI_CASTLE;1;-1;-1;0;0;0
72;BUILDINGCLASS_PORCELAIN_TOWER;TXT_KEY_BUILDING_PORCELAIN_TOWER;BUILDING_PORCELAIN_TOWER;1;-1;-1;0;0;0
73;BUILDINGCLASS_TAJ_MAHAL;TXT_KEY_BUILDING_TAJ_MAHAL;BUILDING_TAJ_MAHAL;1;-1;-1;0;0;0
74;BUILDINGCLASS_BIG_BEN;TXT_KEY_BUILDING_BIG_BEN;BUILDING_BIG_BEN;1;-1;-1;0;0;0
75;BUILDINGCLASS_BRANDENBURG_GATE;TXT_KEY_BUILDING_BRANDENBURG_GATE;BUILDING_BRANDENBURG_GATE;1;-1;-1;0;0;0
76;BUILDINGCLASS_LOUVRE;TXT_KEY_BUILDING_LOUVRE;BUILDING_LOUVRE;1;-1;-1;0;0;0
77;BUILDINGCLASS_EIFFEL_TOWER;TXT_KEY_BUILDING_EIFFEL_TOWER;BUILDING_EIFFEL_TOWER;1;-1;-1;0;0;0
78;BUILDINGCLASS_STATUE_OF_LIBERTY;TXT_KEY_BUILDING_STATUE_OF_LIBERTY;BUILDING_STATUE_OF_LIBERTY;1;-1;-1;0;0;0
79;BUILDINGCLASS_CRISTO_REDENTOR;TXT_KEY_BUILDING_CRISTO_REDENTOR;BUILDING_CRISTO_REDENTOR;1;-1;-1;0;0;0
80;BUILDINGCLASS_PENTAGON;TXT_KEY_BUILDING_PENTAGON;BUILDING_PENTAGON;1;-1;-1;0;0;0
82;BUILDINGCLASS_SYDNEY_OPERA_HOUSE;TXT_KEY_BUILDING_SYDNEY_OPERA_HOUSE;BUILDING_SYDNEY_OPERA_HOUSE;1;-1;-1;0;0;0
83;BUILDINGCLASS_AQUEDUCT;TXT_KEY_BUILDING_AQUEDUCT;BUILDING_AQUEDUCT;-1;-1;-1;0;0;0
84;BUILDINGCLASS_STONE_WORKS;TXT_KEY_BUILDING_STONE_WORKS;BUILDING_STONE_WORKS;-1;-1;-1;0;0;0
85;BUILDINGCLASS_STATUE_ZEUS;TXT_KEY_BUILDING_STATUE_ZEUS;BUILDING_STATUE_ZEUS;1;-1;-1;0;0;0
86;BUILDINGCLASS_TEMPLE_ARTEMIS;TXT_KEY_BUILDING_TEMPLE_ARTEMIS;BUILDING_TEMPLE_ARTEMIS;1;-1;-1;0;0;0
87;BUILDINGCLASS_MAUSOLEUM_HALICARNASSUS;TXT_KEY_BUILDING_MAUSOLEUM_HALICARNASSUS;BUILDING_MAUSOLEUM_HALICARNASSUS;1;-1;-1;0;0;0
106;BUILDINGCLASS_CATHEDRAL;TXT_KEY_BUILDING_CATHEDRAL;BUILDING_CATHEDRAL;-1;-1;-1;0;0;0
107;BUILDINGCLASS_MOSQUE;TXT_KEY_BUILDING_MOSQUE;BUILDING_MOSQUE;-1;-1;-1;0;0;0
108;BUILDINGCLASS_PAGODA;TXT_KEY_BUILDING_PAGODA;BUILDING_PAGODA;-1;-1;-1;0;0;0
109;BUILDINGCLASS_RECYCLING_CENTER;TXT_KEY_BUILDING_RECYCLING_CENTER;BUILDING_RECYCLING_CENTER;-1;-1;5;0;0;0
110;BUILDINGCLASS_BOMB_SHELTER;TXT_KEY_BUILDING_BOMB_SHELTER;BUILDING_BOMB_SHELTER;-1;-1;-1;0;0;0
111;BUILDINGCLASS_CONSTABLE;TXT_KEY_BUILDING_CONSTABLE;BUILDING_CONSTABLE;-1;-1;-1;0;0;0
112;BUILDINGCLASS_POLICE_STATION;TXT_KEY_BUILDING_POLICE_STATION;BUILDING_POLICE_STATION;-1;-1;-1;0;0;0
113;BUILDINGCLASS_INTELLIGENCE_AGENCY;TXT_KEY_BUILDING_INTELLIGENCE_AGENCY;BUILDING_INTELLIGENCE_AGENCY;-1;-1;1;0;0;0
114;BUILDINGCLASS_GRAND_TEMPLE;TXT_KEY_BUILDING_GRAND_TEMPLE;BUILDING_GRAND_TEMPLE;-1;-1;1;0;0;0
115;BUILDINGCLASS_ALHAMBRA;TXT_KEY_BUILDING_ALHAMBRA;BUILDING_ALHAMBRA;1;-1;-1;0;0;0
116;BUILDINGCLASS_CN_TOWER;TXT_KEY_BUILDING_CN_TOWER;BUILDING_CN_TOWER;1;-1;-1;0;0;0
117;BUILDINGCLASS_HUBBLE;TXT_KEY_BUILDING_HUBBLE;BUILDING_HUBBLE;1;-1;-1;0;0;0
118;BUILDINGCLASS_LEANING_TOWER;TXT_KEY_BUILDING_LEANING_TOWER;BUILDING_LEANING_TOWER;1;-1;-1;0;0;0
119;BUILDINGCLASS_MOSQUE_OF_DJENNE;TXT_KEY_BUILDING_MOSQUE_OF_DJENNE;BUILDING_MOSQUE_OF_DJENNE;1;-1;-1;0;0;0
120;BUILDINGCLASS_NEUSCHWANSTEIN;TXT_KEY_BUILDING_NEUSCHWANSTEIN;BUILDING_NEUSCHWANSTEIN;1;-1;-1;0;0;0
121;BUILDINGCLASS_PETRA;TXT_KEY_BUILDING_PETRA;BUILDING_PETRA;1;-1;-1;0;0;0
122;BUILDINGCLASS_TERRACOTTA_ARMY;TXT_KEY_BUILDING_TERRACOTTA_ARMY;BUILDING_TERRACOTTA_ARMY;1;-1;-1;0;0;0
123;BUILDINGCLASS_GREAT_FIREWALL;TXT_KEY_BUILDING_GREAT_FIREWALL;BUILDING_GREAT_FIREWALL;1;-1;-1;0;0;0
124;BUILDINGCLASS_TOURIST_CENTER;TXT_KEY_BUILDING_TOURIST_CENTER;BUILDING_TOURIST_CENTER;-1;-1;1;0;0;0
125;BUILDINGCLASS_WRITERS_GUILD;TXT_KEY_BUILDING_WRITERS_GUILD;BUILDING_WRITERS_GUILD;-1;-1;1;0;0;0
126;BUILDINGCLASS_ARTISTS_GUILD;TXT_KEY_BUILDING_ARTISTS_GUILD;BUILDING_ARTISTS_GUILD;-1;-1;1;0;0;0
127;BUILDINGCLASS_MUSICIANS_GUILD;TXT_KEY_BUILDING_MUSICIANS_GUILD;BUILDING_MUSICIANS_GUILD;-1;-1;1;0;0;0
128;BUILDINGCLASS_HOTEL;TXT_KEY_BUILDING_HOTEL;BUILDING_HOTEL;-1;-1;-1;0;0;0
129;BUILDINGCLASS_CARAVANSARY;TXT_KEY_BUILDING_CARAVANSARY;BUILDING_CARAVANSARY;-1;-1;-1;0;0;0
130;BUILDINGCLASS_AIRPORT;TXT_KEY_BUILDING_AIRPORT;BUILDING_AIRPORT;-1;-1;-1;0;0;0
131;BUILDINGCLASS_UFFIZI;TXT_KEY_BUILDING_UFFIZI;BUILDING_UFFIZI;1;-1;-1;0;0;0
132;BUILDINGCLASS_GLOBE_THEATER;TXT_KEY_BUILDING_GLOBE_THEATER;BUILDING_GLOBE_THEATER;1;-1;-1;0;0;0
133;BUILDINGCLASS_BROADWAY;TXT_KEY_BUILDING_BROADWAY;BUILDING_BROADWAY;1;-1;-1;0;0;0
134;BUILDINGCLASS_RED_FORT;TXT_KEY_BUILDING_RED_FORT;BUILDING_RED_FORT;1;-1;-1;0;0;0
135;BUILDINGCLASS_PRORA_RESORT;TXT_KEY_BUILDING_PRORA_RESORT;BUILDING_PRORA_RESORT;1;-1;-1;0;0;0
136;BUILDINGCLASS_BOROBUDUR;TXT_KEY_BUILDING_BOROBUDUR;BUILDING_BOROBUDUR;1;-1;-1;0;0;0
137;BUILDINGCLASS_PARTHENON;TXT_KEY_PARTHENON;BUILDING_PARTHENON;1;-1;-1;0;0;0
138;BUILDINGCLASS_INTERNATIONAL_SPACE_STATION;TXT_KEY_BUILDING_INTERNATIONAL_SPACE_STATION;BUILDING_INTERNATIONAL_SPACE_STATION;1;-1;-1;0;0;0
